date,vol_surge_ratio,shrink_pullback,vol_compression,ma_convergence,obv_slope,lower_shadow_ratio,money_flow_strength,bottom_deviation,turnover_concentration,illiq_change,mom_12_1,rev_10,rvol_20,vol_confirm,inv_pb,log_cap,roe_ttm,turnover_20,volume_chg,close_to_high_60,growth_revenue,growth_profit,pe_ttm,mom_3_1,mom_6_1,ret_5d_std,high_low_20,dv_ttm,roa_ttm,gross_margin,low_leverage,illiq_20
2018-01-29,-0.00123074,-0.00216695,-0.00093266,-0.00160499,-0.00118993,-0.00141246,-0.00121272,-0.00040718,-0.00051947,-0.00120806,-0.00069281,-0.00100167,-0.00066862,-0.00052541,-0.00239447,-0.00035171,-0.00057462,-0.00054598,-0.00102185,-0.00078958,-0.00103166,-0.00053739,-0.00153606,-0.00071827,-0.00055333,-0.00107022,-0.00092394,-0.00079203,-0.00066284,-0.00071889,-0.00152400,-0.00249579
2018-02-12,-0.05577643,-0.09191567,-0.08900199,-0.08877163,-0.05390157,-0.06416277,-0.03672702,-0.05200179,-0.05193590,-0.09243823,-0.03095622,-0.04520472,-0.04947037,-0.02632774,-0.10677131,-0.01432647,-0.02911435,-0.03361347,-0.05087115,-0.04987856,-0.06385960,-0.07877262,-0.03373542,-0.04530926,-0.03368308,-0.05969967,-0.06741255,-0.03513086,-0.03221974,-0.04514588,-0.06838420,-0.10826568
2018-02-26,0.01904103,0.03802813,0.02539633,0.03086930,0.02440717,0.02392816,0.01233734,0.01448964,0.01503673,0.03143040,0.01055442,0.02429898,0.01573093,0.00673722,0.03931738,0.00669412,0.01235403,0.01169412,0.01670688,0.01730482,0.01776385,0.02389023,0.01705240,0.01749339,0.01131425,0.00775652,0.02360786,0.01717610,0.01282276,0.01742796,0.02421488,0.04081732
2018-03-12,0.03896844,0.04729985,0.01812994,0.04398170,0.03743362,0.05846633,0.05392235,0.02530298,0.01712790,0.03319050,0.02052507,0.03738792,0.02203939,0.02803500,0.06486850,0.01179003,0.01633383,0.02193006,0.03890000,0.03141064,0.03017464,0.04367273,0.02206645,0.02948317,0.02457440,0.01868210,0.02031374,0.02012532,0.01681245,0.03045301,0.03312170,0.06587655
2018-03-26,-0.02511009,-0.03450165,-0.02465837,-0.03365266,-0.01604467,-0.02691792,-0.01815093,-0.02201108,-0.01442639,-0.03320189,-0.02650712,-0.01954376,-0.02071322,-0.01540224,-0.03461067,-0.02783760,-0.02556372,-0.02024145,-0.02262133,-0.01858737,-0.03623366,-0.03297621,-0.01136082,-0.02946409,-0.02721302,-0.02305566,-0.02484613,-0.02303341,-0.02438828,-0.02327521,-0.01869047,-0.02525362
2018-04-09,0.00559582,0.00997134,0.00808255,0.00745966,0.00370498,0.00575095,0.00358740,0.00323752,0.00372530,0.00897665,0.00567936,0.00412440,0.00474262,0.00200086,0.01068622,0.00640389,0.00553805,0.00414673,0.00521858,0.00517407,0.00793551,0.00867877,0.00307455,0.00664505,0.00575668,0.00474639,0.00590369,0.00463859,0.00578960,0.00651452,0.00483779,0.00677371
2018-04-23,-0.06948048,-0.06200475,-0.06185965,-0.08856878,-0.02489056,-0.03376929,-0.02655194,-0.03367479,-0.02023927,-0.05701449,-0.05287370,-0.04805272,-0.04934610,-0.02871535,-0.06565359,-0.06938976,-0.05942888,-0.04113340,-0.05455380,-0.02751551,-0.06185933,-0.05201279,-0.02218775,-0.03441732,-0.05367979,-0.05605073,-0.05486176,-0.06260981,-0.05387433,-0.05063720,-0.03731647,-0.04706881
2018-05-07,0.04609150,0.05819089,0.04676990,0.04711586,0.02966266,0.04685028,0.04043675,0.03518911,0.03341696,0.03938596,0.04381199,0.03598644,0.03562617,0.02771264,0.06200769,0.04590435,0.04472495,0.03155818,0.05356308,0.04008729,0.04923004,0.05995247,0.02287600,0.03641099,0.03616707,0.03163278,0.03893054,0.03679580,0.04240974,0.04215984,0.04203349,0.04477652
2018-05-21,0.01562001,0.01931161,0.01480726,0.01485249,0.01631437,0.01692843,0.01442706,0.01160578,0.00964570,0.01793053,0.01395483,0.01559664,0.01105503,0.01238689,0.02296762,0.01915839,0.01663958,0.01014574,0.01755964,0.01789029,0.01615649,0.01511196,0.00756768,0.01175653,0.01617188,0.01142628,0.01160252,0.01223848,0.01246635,0.01383271,0.01189891,0.01301035
2018-06-04,-0.02735551,-0.02736140,-0.02162764,-0.01719283,-0.02013562,-0.02410807,-0.02188275,-0.02155007,-0.01138461,-0.01998835,-0.02381660,-0.02415153,-0.01431779,-0.02123558,-0.03249187,-0.02881834,-0.02458768,-0.01412396,-0.02409440,-0.02834405,-0.03084566,-0.02925466,-0.00978227,-0.02116378,-0.02359231,-0.01588821,-0.01412995,-0.01786895,-0.02283550,-0.01912437,-0.01944465,-0.01880714
