date,strategy,bench_000001.SH,bench_000300.SH,bench_000905.SZ
2018-01-15,299508.79,300000.00,300000.00,300000.00
2018-01-29,258176.33,309897.04,305451.44,300563.38
2018-02-12,234123.77,277449.32,276204.80,257746.48
2018-02-26,281622.22,292882.44,292415.53,290985.92
2018-03-12,299811.65,292629.59,293072.12,300000.00
2018-03-26,284387.28,275654.54,275479.76,260000.00
2018-04-09,294368.72,276056.69,273565.28,289859.15
2018-04-23,270667.73,269874.44,267416.26,260563.38
2018-05-07,278492.84,275911.65,272234.60,263380.28
2018-05-21,283677.54,282702.08,278415.62,269859.15
2018-06-04,246443.45,271913.35,270345.26,260845.07
2018-06-15,248455.92,265818.32,266500.92,246478.87
2018-07-02,236535.25,244148.95,241971.89,218309.86
2018-07-16,244030.27,247534.22,246524.68,213802.82
2018-07-30,254427.46,252372.92,249577.30,220000.00
2018-08-13,257748.94,245056.29,240720.86,224507.04
2018-08-27,252601.93,244618.85,241873.18,211830.99
2018-09-10,237794.61,234818.39,229340.96,199154.93
2018-09-21,245682.47,246077.80,242150.94,202535.21
2018-10-08,239041.69,238954.97,233660.05,194366.20
2018-10-22,236884.08,233533.39,232195.60,169014.08
2018-11-05,254007.34,234461.79,231667.48,173239.44
2018-11-19,258519.31,237811.55,233923.07,191267.61
2018-12-03,250033.54,233526.51,231533.65,195774.65
2018-12-17,241511.41,228528.02,224450.95,182253.52
2018-12-28,228962.92,219372.95,213762.11,170704.23
2019-01-14,244743.93,223055.92,217818.52,179718.31
2019-01-28,249109.87,228440.32,226054.25,173802.82
2019-02-11,255215.73,233447.16,234765.82,175211.27
2019-02-25,277424.85,260486.17,264800.37,198873.24
2019-03-11,282972.97,266266.20,264833.85,204507.04
2019-03-25,293541.33,267677.04,265747.68,272957.75
2019-04-08,321209.18,285426.32,288070.92,262535.21
2019-04-22,313123.28,282807.83,285826.01,259154.93
2019-05-06,290478.52,255664.04,261614.78,210140.85
2019-05-20,295152.88,252509.71,256870.12,210422.54
2019-06-03,293758.65,254222.92,257879.79,212676.06
2019-06-17,296697.63,254006.63,259499.49,204225.35
2019-07-01,323846.27,267841.67,279450.08,220281.69
2019-07-15,317453.13,258806.23,271524.58,222253.52
2019-07-29,316918.26,258702.58,273660.50,215492.96
2019-08-12,301822.37,247618.02,262643.45,197183.10
2019-08-26,309285.12,251890.68,267386.78,201971.83
2019-09-09,320855.44,266067.96,282086.87,212112.68
2019-09-23,314878.19,261875.41,276244.35,211830.99
2019-09-30,313228.56,255551.91,270838.73,203943.66
2019-10-21,338500.80,258580.39,275546.98,202535.21
2019-11-04,348363.99,261736.01,282454.17,203661.97
2019-11-18,341342.04,255904.73,277470.37,197183.10
2019-12-02,332130.91,252967.35,272367.45,192957.75
2019-12-16,341998.39,262518.94,283123.35,201690.14
2019-12-30,348989.20,267412.50,289803.71,209014.08
2020-01-13,357311.29,274057.80,298491.14,212676.06
2020-01-23,344655.70,261827.16,284284.58,194647.89
2020-02-10,340469.52,254258.71,278043.79,179718.31
2020-02-24,345776.52,266639.24,293439.39,187605.63
2020-03-09,340391.42,258903.46,283803.98,190140.85
2020-03-23,307979.04,233998.82,250658.40,169295.77
2020-04-03,345065.62,243131.24,263645.54,169014.08
2020-04-20,353573.94,250921.80,273602.62,170704.23
2020-04-30,356837.94,251584.12,277800.40,166760.56
2020-05-18,366561.14,252933.08,278534.17,165070.42
2020-06-01,363708.28,256452.82,281972.68,187605.63
2020-06-15,360110.35,254218.50,280811.67,181408.45
2020-06-29,374567.25,260506.67,291797.66,176338.03
2020-07-13,402936.98,302885.05,344569.44,250422.54
2020-07-27,396416.20,281944.40,321528.53,198591.55
2020-08-10,407874.70,297252.38,335474.71,208169.01
2020-08-24,412029.82,297814.10,337674.30,207042.25
2020-09-07,403789.91,289629.27,331533.96,198028.17
2020-09-21,405702.78,291770.70,333100.29,198028.17
2020-09-30,405770.06,283072.56,325713.76,186760.56
2020-10-19,412207.12,291395.27,337648.66,191267.61
2020-11-02,413123.87,283694.25,335187.97,182253.52
2020-11-16,432896.10,294412.62,348205.48,196901.41
2020-11-30,422521.12,298352.16,352187.29,204225.35
2020-12-14,467635.17,296361.10,350382.65,195492.96
2020-12-28,479946.83,298838.63,359583.04,191267.61
2021-01-11,524698.01,310644.48,386332.55,187605.63
2021-01-25,543166.47,318802.28,399451.21,186478.87
2021-02-08,530704.30,310727.95,395094.44,177464.79
2021-02-22,596002.01,320403.83,397421.23,189295.77
2021-03-08,594573.95,300961.09,360691.38,190422.54
2021-03-22,588692.40,302898.50,359067.38,203380.28
2021-04-02,602485.23,306500.91,366480.32,199154.93
2021-04-19,590748.10,305898.89,361187.81,199718.31
2021-04-30,605741.16,303199.09,363777.43,190422.54
2021-05-17,605223.60,309423.37,368143.79,195211.27
2021-05-31,622243.40,318031.65,378551.55,191267.61
2021-06-11,622488.15,315768.41,370963.82,188732.39
2021-06-28,642985.60,317230.73,372884.94,189295.77
2021-07-12,633777.30,312081.67,364432.05,184788.73
2021-07-26,604308.47,305009.78,349705.57,181126.76
2021-08-09,618177.95,307401.87,353984.40,180281.69
2021-08-23,637066.27,305862.26,343356.52,184225.35
2021-09-06,663924.61,318593.04,350303.91,192957.75
2021-09-17,673932.07,317898.74,344780.96,194929.58
2021-09-30,668682.12,313870.03,345522.39,186478.87
2021-10-18,673202.66,313867.49,346118.29,184788.73
2021-11-01,693416.45,311786.40,347247.91,179154.93
2021-11-15,709601.91,310803.24,346658.07,198028.17
2021-11-29,740424.99,313388.87,344460.23,211549.30
2021-12-13,763301.89,323802.50,360959.49,204507.04
2021-12-27,789493.59,318075.35,349281.32,215211.27
2022-01-10,777488.14,316100.09,343936.38,218873.24
2022-01-24,768427.23,309994.18,339867.45,200845.07
2022-02-07,724495.58,301679.47,329029.17,210985.92
2022-02-21,724400.62,307048.03,329045.09,215211.27
2022-03-07,715827.80,296689.65,309055.45,221690.14
2022-03-21,683978.91,286207.03,302379.03,204507.04
2022-04-01,705605.58,288760.71,303615.32,229295.77
2022-04-18,668695.34,281090.90,295821.19,232676.06
2022-04-29,595755.80,268031.63,285160.72,193239.44
2022-05-16,659751.89,270379.07,280921.68,215774.65
2022-05-30,682837.86,277003.81,286067.91,232957.75
2022-06-13,707189.81,286371.12,297451.98,224788.73
2022-06-27,647101.90,297246.46,315551.16,223380.28
2022-07-11,716422.49,291475.92,309186.04,220000.00
2022-07-25,726830.07,285916.95,299105.72,227887.32
2022-08-08,737220.85,284733.46,294521.16,232957.75
2022-08-22,786144.66,288327.72,296887.08,241690.14
2022-09-05,790107.71,281476.87,285102.89,236338.03
2022-09-19,744489.85,274060.64,278895.45,209014.08
2022-09-30,697121.26,266037.32,270154.07,199436.62
2022-10-17,725873.52,271363.70,273102.54,210985.92
2022-10-31,700861.17,254522.17,249124.59,204225.35
2022-11-14,744723.28,271228.15,269382.41,211549.30
2022-11-28,765512.42,270801.27,265067.29,214929.58
2022-12-12,784043.06,279641.05,280701.97,216338.03
2022-12-26,743988.49,269658.98,272894.98,205352.11
2023-01-09,771428.06,279380.93,284939.10,204225.35
2023-01-20,785906.31,287185.90,296896.32,215774.65
2023-02-06,811653.45,284888.64,290176.08,218309.86
2023-02-20,826380.05,289431.14,293485.60,208450.70
2023-03-06,846883.75,292218.51,291747.51,214929.58
2023-03-20,832828.95,284555.48,279681.93,213802.82
2023-04-03,828498.35,289964.00,290438.05,205070.42
2023-04-17,809312.98,297811.57,294614.10,221126.76
2023-04-28,804701.79,292328.35,286072.73,212394.37
2023-05-15,822315.35,291225.46,283928.57,220281.69
2023-05-29,813374.60,283371.31,272217.12,207042.25
2023-06-12,779205.11,284020.94,272961.99,217183.10
2023-06-26,736498.59,277140.87,270495.65,204507.04
2023-07-10,783402.07,281809.72,272954.50,222816.90
2023-07-24,789929.75,278332.07,270177.90,227887.32
2023-08-07,788087.96,287539.28,283308.43,219154.93
2023-08-21,784239.10,272070.52,264805.48,214929.58
2023-09-04,796250.00,279466.76,273282.87,214084.51
2023-09-18,790990.71,274969.30,264674.55,210704.23
2023-09-28,784801.05,273609.68,261962.72,207887.32
2023-10-16,771097.98,270384.72,257495.28,205915.49
2023-10-30,783060.20,265787.76,254454.59,196338.03
2023-11-13,806393.68,267985.06,254145.19,202535.21
2023-11-27,811938.85,266680.31,249354.57,203661.97
2023-12-11,793478.26,263138.73,242787.77,201408.45
