date,strategy,bench_000001.SH,bench_000300.SH,bench_000905.SZ
2018-01-15,299857.25,300000.00,300000.00,300000.00
2018-01-29,287645.31,309897.04,305451.44,300563.38
2018-02-12,278597.20,277449.32,276204.80,257746.48
2018-02-26,292895.57,292882.44,292415.53,290985.92
2018-03-12,300161.52,292629.59,293072.12,300000.00
2018-03-26,285136.20,275654.54,275479.76,260000.00
2018-04-09,286303.52,276056.69,273565.28,289859.15
2018-04-23,263905.54,269874.44,267416.26,260563.38
2018-05-07,264955.34,275911.65,272234.60,263380.28
2018-05-21,266757.71,282702.08,278415.62,269859.15
2018-06-04,233245.15,271913.35,270345.26,260845.07
2018-06-15,248863.56,265818.32,266500.92,246478.87
2018-07-02,246560.79,244148.95,241971.89,218309.86
2018-07-16,253980.61,247534.22,246524.68,213802.82
2018-07-30,258319.46,252372.92,249577.30,220000.00
2018-08-13,259616.71,245056.29,240720.86,224507.04
2018-08-27,257522.67,244618.85,241873.18,211830.99
2018-09-10,251908.73,234818.39,229340.96,199154.93
2018-09-21,253327.25,246077.80,242150.94,202535.21
2018-10-08,250733.71,238954.97,233660.05,194366.20
2018-10-22,250406.64,233533.39,232195.60,169014.08
2018-11-05,253674.37,234461.79,231667.48,173239.44
2018-11-19,258161.25,237811.55,233923.07,191267.61
2018-12-03,249719.65,233526.51,231533.65,195774.65
2018-12-17,241326.09,228528.02,224450.95,182253.52
2018-12-28,233507.70,219372.95,213762.11,170704.23
2019-01-14,236569.11,223055.92,217818.52,179718.31
2019-01-28,239323.99,228440.32,226054.25,173802.82
2019-02-11,240866.55,233447.16,234765.82,175211.27
2019-02-25,248777.66,260486.17,264800.37,198873.24
2019-03-11,253528.71,266266.20,264833.85,204507.04
2019-03-25,262940.61,267677.04,265747.68,272957.75
2019-04-08,281303.05,285426.32,288070.92,262535.21
2019-04-22,274462.66,282807.83,285826.01,259154.93
2019-05-06,254522.87,255664.04,261614.78,210140.85
2019-05-20,255148.82,252509.71,256870.12,210422.54
2019-06-03,255689.41,254222.92,257879.79,212676.06
2019-06-17,256890.95,254006.63,259499.49,204225.35
2019-07-01,263361.37,267841.67,279450.08,220281.69
2019-07-15,260348.11,258806.23,271524.58,222253.52
2019-07-29,260206.11,258702.58,273660.50,215492.96
2019-08-12,255635.06,247618.02,262643.45,197183.10
2019-08-26,256833.33,251890.68,267386.78,201971.83
2019-09-09,260447.31,266067.96,282086.87,212112.68
2019-09-23,255752.18,261875.41,276244.35,211830.99
2019-09-30,255353.24,255551.91,270838.73,203943.66
2019-10-21,258338.69,258580.39,275546.98,202535.21
2019-11-04,259959.22,261736.01,282454.17,203661.97
2019-11-18,258548.20,255904.73,277470.37,197183.10
2019-12-02,255717.97,252967.35,272367.45,192957.75
2019-12-16,258372.74,262518.94,283123.35,201690.14
2019-12-30,263083.77,267412.50,289803.71,209014.08
2020-01-13,269007.98,274057.80,298491.14,212676.06
2020-01-23,260283.37,261827.16,284284.58,194647.89
2020-02-10,258067.32,254258.71,278043.79,179718.31
2020-02-24,261301.66,266639.24,293439.39,187605.63
2020-03-09,255774.76,258903.46,283803.98,190140.85
2020-03-23,244442.05,233998.82,250658.40,169295.77
2020-04-03,248273.05,243131.24,263645.54,169014.08
2020-04-20,250767.76,250921.80,273602.62,170704.23
2020-04-30,251365.60,251584.12,277800.40,166760.56
2020-05-18,251771.84,252933.08,278534.17,165070.42
2020-06-01,250074.33,256452.82,281972.68,187605.63
2020-06-15,248021.66,254218.50,280811.67,181408.45
2020-06-29,251853.39,260506.67,291797.66,176338.03
2020-07-13,257415.44,302885.05,344569.44,250422.54
2020-07-27,253847.75,281944.40,321528.53,198591.55
2020-08-10,256808.93,297252.38,335474.71,208169.01
2020-08-24,258276.48,297814.10,337674.30,207042.25
2020-09-07,255467.09,289629.27,331533.96,198028.17
2020-09-21,256371.27,291770.70,333100.29,198028.17
2020-09-30,256554.18,283072.56,325713.76,186760.56
2020-10-19,257572.21,291395.27,337648.66,191267.61
2020-11-02,257616.95,283694.25,335187.97,182253.52
2020-11-16,260121.82,294412.62,348205.48,196901.41
2020-11-30,257555.44,298352.16,352187.29,204225.35
2020-12-14,263863.38,296361.10,350382.65,195492.96
2020-12-28,265014.84,298838.63,359583.04,191267.61
2021-01-11,272296.33,310644.48,386332.55,187605.63
2021-01-25,273319.93,318802.28,399451.21,186478.87
2021-02-08,269785.01,310727.95,395094.44,177464.79
2021-02-22,276074.05,320403.83,397421.23,189295.77
2021-03-08,274635.65,300961.09,360691.38,190422.54
2021-03-22,272632.93,302898.50,359067.38,203380.28
2021-04-02,275294.94,306500.91,366480.32,199154.93
2021-04-19,271532.81,305898.89,361187.81,199718.31
2021-04-30,276231.69,303199.09,363777.43,190422.54
2021-05-17,276534.22,309423.37,368143.79,195211.27
2021-05-31,281819.79,318031.65,378551.55,191267.61
2021-06-11,280150.02,315768.41,370963.82,188732.39
2021-06-28,284446.44,317230.73,372884.94,189295.77
2021-07-12,282511.64,312081.67,364432.05,184788.73
2021-07-26,272128.31,305009.78,349705.57,181126.76
2021-08-09,277436.77,307401.87,353984.40,180281.69
2021-08-23,285679.99,305862.26,343356.52,184225.35
2021-09-06,297751.78,318593.04,350303.91,192957.75
2021-09-17,298246.17,317898.74,344780.96,194929.58
2021-09-30,297264.50,313870.03,345522.39,186478.87
2021-10-18,299866.32,313867.49,346118.29,184788.73
2021-11-01,301206.25,311786.40,347247.91,179154.93
2021-11-15,303658.51,310803.24,346658.07,198028.17
2021-11-29,316655.93,313388.87,344460.23,211549.30
2021-12-13,323832.20,323802.50,360959.49,204507.04
2021-12-27,335287.39,318075.35,349281.32,215211.27
2022-01-10,337604.21,316100.09,343936.38,218873.24
2022-01-24,334200.18,309994.18,339867.45,200845.07
2022-02-07,331280.20,301679.47,329029.17,210985.92
2022-02-21,331099.89,307048.03,329045.09,215211.27
2022-03-07,326877.62,296689.65,309055.45,221690.14
2022-03-21,322752.38,286207.03,302379.03,204507.04
2022-04-01,326844.50,288760.71,303615.32,229295.77
2022-04-18,320766.57,281090.90,295821.19,232676.06
2022-04-29,309128.07,268031.63,285160.72,193239.44
2022-05-16,315091.88,270379.07,280921.68,215774.65
2022-05-30,322189.16,277003.81,286067.91,232957.75
2022-06-13,324308.53,286371.12,297451.98,224788.73
2022-06-27,308934.55,297246.46,315551.16,223380.28
2022-07-11,333901.27,291475.92,309186.04,220000.00
2022-07-25,335375.74,285916.95,299105.72,227887.32
2022-08-08,339771.11,284733.46,294521.16,232957.75
2022-08-22,361592.21,288327.72,296887.08,241690.14
2022-09-05,363844.54,281476.87,285102.89,236338.03
2022-09-19,355924.57,274060.64,278895.45,209014.08
2022-09-30,352528.31,266037.32,270154.07,199436.62
2022-10-17,355325.94,271363.70,273102.54,210985.92
2022-10-31,350432.20,254522.17,249124.59,204225.35
2022-11-14,358925.57,271228.15,269382.41,211549.30
2022-11-28,366396.02,270801.27,265067.29,214929.58
2022-12-12,371869.79,279641.05,280701.97,216338.03
2022-12-26,360260.77,269658.98,272894.98,205352.11
2023-01-09,362529.65,279380.93,284939.10,204225.35
2023-01-20,369212.31,287185.90,296896.32,215774.65
2023-02-06,381183.44,284888.64,290176.08,218309.86
2023-02-20,388114.68,289431.14,293485.60,208450.70
2023-03-06,394874.89,292218.51,291747.51,214929.58
2023-03-20,388546.77,284555.48,279681.93,213802.82
2023-04-03,387494.94,289964.00,290438.05,205070.42
2023-04-17,378631.41,297811.57,294614.10,221126.76
2023-04-28,376937.14,292328.35,286072.73,212394.37
2023-05-15,380153.36,291225.46,283928.57,220281.69
2023-05-29,378595.44,283371.31,272217.12,207042.25
2023-06-12,374334.72,284020.94,272961.99,217183.10
2023-06-26,368351.03,277140.87,270495.65,204507.04
2023-07-10,375035.61,281809.72,272954.50,222816.90
2023-07-24,378495.56,278332.07,270177.90,227887.32
2023-08-07,378252.52,287539.28,283308.43,219154.93
2023-08-21,377414.89,272070.52,264805.48,214929.58
2023-09-04,378332.45,279466.76,273282.87,214084.51
2023-09-18,376223.77,274969.30,264674.55,210704.23
2023-09-28,375080.39,273609.68,261962.72,207887.32
2023-10-16,372513.29,270384.72,257495.28,205915.49
2023-10-30,374793.61,265787.76,254454.59,196338.03
2023-11-13,378868.29,267985.06,254145.19,202535.21
2023-11-27,381681.07,266680.31,249354.57,203661.97
2023-12-11,376363.31,263138.73,242787.77,201408.45
2023-12-25,374407.53,256750.27,237675.35,201971.83
2024-01-08,374659.20,253999.23,233316.23,199436.62
2024-01-22,355762.56,242458.53,228548.12,176619.72
2024-02-05,345906.83,237694.86,227236.01,159154.93
2024-02-19,348374.26,256022.94,241676.81,176338.03
2024-03-04,357958.95,267349.31,251408.38,177746.48
2024-03-18,385039.70,271362.28,255857.32,183098.59
2024-04-01,390456.89,270698.37,255297.72,182535.21
2024-04-15,370150.48,268939.00,251991.12,180281.69
2024-04-29,371614.83,273835.56,257304.65,182535.21
2024-05-13,371659.53,276912.32,260199.99,185070.42
2024-05-27,371454.87,274803.12,258142.15,183098.59
2024-06-07,363448.46,268402.51,253768.89,171267.61
2024-06-24,365700.25,260645.87,246860.12,156338.03
2024-07-08,362924.33,257070.22,241531.44,156338.03
2024-07-22,363845.70,260744.09,249566.33,157746.48
2024-08-05,365496.45,251638.27,237382.09,162816.90
2024-08-19,366688.43,254538.97,238351.07,163380.28
2024-09-02,366301.28,247269.73,231821.97,156338.03
2024-09-13,361402.90,237862.39,224312.53,152112.68
2024-09-30,392772.01,293491.48,285275.29,181971.83
2024-10-14,376992.55,288901.97,281262.82,179718.31
2024-10-28,422525.39,292233.60,281462.65,181408.45
2024-11-11,452441.98,305240.67,293318.15,191549.30
2024-11-25,436677.08,287093.18,273221.75,184507.04
2024-12-09,483330.42,299300.34,281634.05,190985.92
2024-12-23,457724.94,294789.80,279291.05,180000.00
2025-01-06,446228.11,282093.58,267603.99,201408.45
2025-01-20,450725.81,285388.26,271914.28,207605.63
2025-01-27,451057.48,285935.66,271019.93,202253.52
2025-02-17,455685.68,295192.01,280272.76,196619.72
2025-03-03,461216.30,291769.84,276089.01,197746.48
2025-03-17,482349.81,301375.78,283779.50,
2025-03-31,467585.84,293425.40,276006.07,212957.75
2025-04-14,461962.40,287009.42,266906.22,225352.11
2025-04-28,472689.85,289261.93,268502.10,209859.15
2025-05-12,491957.43,296372.04,276240.66,215774.65
2025-05-26,496577.90,294401.15,274074.89,224788.73
2025-06-09,498134.58,299057.33,275859.82,225070.42
2025-06-23,484471.78,297457.26,273918.33,232957.75
2025-07-07,496800.70,305509.96,281534.91,232957.75
2025-07-21,523666.97,313133.28,290085.86,230704.23
2025-08-04,526440.09,315201.98,289027.58,236056.34
2025-08-18,530493.38,327931.99,301006.32,231267.61
2025-09-01,543354.94,340906.95,321192.06,246478.87
2025-09-15,550626.54,339585.13,321855.55,240000.00
2025-09-29,539528.28,339763.53,328032.51,230985.92
2025-10-13,539446.48,342135.96,326181.18,237183.10
2025-10-27,553576.21,351587.01,334846.26,292957.75
2025-11-10,566661.87,353491.67,333357.50,306197.18
2025-11-24,536811.41,337497.03,315819.83,284225.35
2025-12-08,537077.48,345177.37,328153.33,371830.99
2025-12-22,534477.50,344586.78,327434.01,378309.86
2025-12-31,537940.04,349114.84,328734.48,368169.01
