date,strategy,bench_000001.SH,bench_000300.SH,bench_000905.SZ
2018-01-31,299523.32,300000.00,300000.00,300000.00
2018-02-28,272282.02,280916.17,282301.47,287943.93
2018-03-30,275938.68,273115.33,273521.29,273644.86
2018-04-27,269682.39,265646.00,263585.05,257102.80
2018-05-31,265681.74,266787.29,266777.32,261308.41
2018-06-29,243996.79,245408.31,246333.10,220654.21
2018-07-31,263315.88,247906.23,246801.23,218691.59
2018-08-31,253188.22,234879.09,233951.08,208037.38
2018-09-28,252301.04,243161.60,241273.14,198504.67
2018-10-31,232916.33,224324.14,221274.43,164859.81
2018-11-30,269198.46,223066.19,222598.12,190654.21
2018-12-28,252201.63,214939.58,211229.54,169906.54
2019-01-31,268266.20,222754.62,224628.79,167383.18
2019-02-28,315454.32,253469.80,257445.56,199065.42
2019-03-29,352800.48,266380.86,271686.13,248971.96
2019-04-30,349913.70,265310.51,274553.59,232429.91
2019-05-31,330735.99,249827.77,254668.53,210280.37
2019-06-28,331635.10,256738.38,268405.85,214205.61
2019-07-31,338061.03,252741.70,269091.43,212523.36
2019-08-30,330778.92,248753.92,266581.60,199345.79
2019-09-30,326966.10,250387.38,267629.93,202990.65
2019-10-31,329113.83,252444.38,272697.20,200186.92
2019-11-29,328268.81,247525.32,268622.17,192616.82
2019-12-31,343811.82,262878.77,287419.03,209439.25
2020-01-23,333343.50,256535.81,280916.48,193738.32
2020-02-28,320033.79,248242.60,276436.55,178878.50
2020-03-31,307551.69,237037.73,258623.19,169345.79
2020-04-30,319283.89,246499.78,274509.12,165981.31
2020-05-29,318638.27,245833.47,271313.02,169626.17
2020-06-30,326258.00,257237.89,292146.57,180841.12
2020-07-31,348440.41,285277.07,329407.69,202429.91
2020-08-31,360026.92,292660.73,337908.99,201869.16
2020-09-30,349257.85,277351.86,321854.82,185887.85
2020-10-30,355133.30,277910.38,329427.86,184205.61
2020-11-30,373213.47,292322.67,348014.70,203271.03
2020-12-31,389062.90,299330.84,365627.60,201028.04
2021-01-29,411347.67,300192.70,375497.53,185046.73
2021-02-26,410995.67,302434.50,374430.83,185607.48
2021-03-31,389431.09,296645.47,354196.47,200186.92
2021-04-30,387920.06,297071.65,359467.53,189532.71
2021-05-31,405839.09,311604.45,374066.61,190373.83
2021-06-30,418164.82,309511.83,366522.33,186728.97
2021-07-30,413998.69,292805.52,337554.98,176915.89
2021-08-31,444712.97,305438.94,337164.91,187009.35
2021-09-30,443844.56,307526.94,341428.77,185607.48
2021-10-29,459666.61,305731.62,344402.70,177757.01
2021-11-30,472544.67,307158.10,339018.28,209439.25
2021-12-31,475005.66,313698.62,346620.00,210841.12
2022-01-28,438840.23,289709.90,320197.40,199626.17
2022-02-28,466387.71,298403.23,321451.44,214485.98
2022-03-31,436001.32,280295.19,296260.31,215887.85
2022-04-29,377706.39,262614.90,281782.24,192336.45
2022-05-31,416868.06,274626.22,287063.70,235794.39
2022-06-30,431651.77,292914.00,314671.46,221495.33
2022-07-29,429639.78,280384.42,292577.23,224299.07
2022-08-31,425865.33,275980.27,286174.25,225981.31
2022-09-30,400697.31,260660.90,266953.38,198504.67
2022-10-31,415006.19,249378.46,246173.05,203271.03
2022-11-30,448189.06,271601.79,270331.70,213925.23
2022-12-30,428929.08,266251.57,271636.50,202429.91
2023-01-31,455785.54,280593.94,291648.02,215887.85
2023-02-28,469620.20,282656.90,285516.03,208598.13
2023-03-31,459129.76,282075.57,284215.75,202149.53
2023-04-28,457166.57,286420.60,282683.44,211401.87
2023-05-31,464792.52,276189.41,266508.43,211121.50
2023-06-30,474425.00,275973.76,269589.06,218130.84
2023-07-31,502683.57,283642.40,281669.22,227663.55
2023-08-31,486735.59,268890.47,264173.79,204392.52
2023-09-28,489017.05,268080.22,258859.08,206915.89
2023-10-31,484609.95,260176.54,250649.46,196822.43
2023-11-30,501443.98,261116.15,245296.00,203271.03
2023-12-29,497494.22,256398.49,240729.04,201028.04
2024-01-31,424259.89,240334.53,225591.30,177196.26
2024-02-29,428224.78,259866.32,246690.78,179158.88
2024-03-29,448468.57,262106.79,248192.34,180560.75
2024-04-30,443804.07,267593.20,252886.79,180560.75
2024-05-31,433357.98,266040.89,251169.99,177476.64
2024-06-28,393947.94,255749.34,242872.25,158411.21
2024-07-31,417123.75,253279.80,241499.02,163738.32
2024-08-30,412249.65,244959.80,233033.98,156448.60
2024-09-30,491190.42,287560.22,281895.45,181121.50
2024-10-31,533726.74,282675.79,272998.03,183925.23
2024-11-29,589584.76,286694.76,274790.18,187289.72
2024-12-31,539030.77,288875.91,276076.07,200747.66
2025-01-27,537768.14,280157.11,267808.98,201308.41
2025-02-28,545182.03,286215.71,272928.50,194859.81
2025-03-31,549712.21,287495.48,272736.05,211962.62
2025-04-30,556173.77,282607.44,264545.83,207196.26
2025-05-30,576995.18,288507.40,269433.35,223457.94
2025-06-30,596668.23,296862.15,276158.03,225700.93
2025-07-31,624342.26,307961.44,285946.29,232710.28
2025-08-29,641332.23,332500.32,315495.73,248130.84
2025-09-30,622839.84,334642.05,325594.26,229906.54
2025-10-31,640648.73,340848.55,325592.45,292990.65
2025-11-28,636551.05,335143.55,317593.71,303084.11
2025-12-31,626267.14,342059.47,324839.75,366448.60
