date,strategy,bench_000001.SH,bench_000300.SH,bench_000905.SZ
2018-01-15,299508.79,300000.00,300000.00,300000.00
2018-01-29,258176.33,309897.04,305451.44,300563.38
2018-02-12,234125.21,277449.32,276204.80,257746.48
2018-02-26,281900.32,292882.44,292415.53,290985.92
2018-03-12,302259.82,292629.59,293072.12,300000.00
2018-03-26,285408.48,275654.54,275479.76,260000.00
2018-04-09,293445.15,276056.69,273565.28,289859.15
2018-04-23,269142.24,269874.44,267416.26,260563.38
2018-05-07,270302.31,275911.65,272234.60,263380.28
2018-05-21,277026.95,282702.08,278415.62,269859.15
2018-06-04,245409.49,271913.35,270345.26,260845.07
2018-06-15,242030.67,265818.32,266500.92,246478.87
2018-07-02,232028.23,244148.95,241971.89,218309.86
2018-07-16,229689.75,247534.22,246524.68,213802.82
2018-07-30,238126.47,252372.92,249577.30,220000.00
2018-08-13,239118.51,245056.29,240720.86,224507.04
2018-08-27,234634.57,244618.85,241873.18,211830.99
2018-09-10,220883.83,234818.39,229340.96,199154.93
2018-09-21,226806.18,246077.80,242150.94,202535.21
2018-10-08,220735.07,238954.97,233660.05,194366.20
2018-10-22,218174.79,233533.39,232195.60,169014.08
2018-11-05,233228.70,234461.79,231667.48,173239.44
2018-11-19,241110.57,237811.55,233923.07,191267.61
2018-12-03,233086.15,233526.51,231533.65,195774.65
2018-12-17,224323.65,228528.02,224450.95,182253.52
2018-12-28,212530.87,219372.95,213762.11,170704.23
2019-01-14,224677.71,223055.92,217818.52,179718.31
2019-01-28,229243.13,228440.32,226054.25,173802.82
2019-02-11,234383.06,233447.16,234765.82,175211.27
2019-02-25,255673.83,260486.17,264800.37,198873.24
2019-03-11,260687.92,266266.20,264833.85,204507.04
2019-03-25,270313.91,267677.04,265747.68,272957.75
2019-04-08,295776.44,285426.32,288070.92,262535.21
2019-04-22,287952.78,282807.83,285826.01,259154.93
2019-05-06,268332.69,255664.04,261614.78,210140.85
2019-05-20,264608.71,252509.71,256870.12,210422.54
2019-06-03,275464.33,254222.92,257879.79,212676.06
2019-06-17,276116.45,254006.63,259499.49,204225.35
2019-07-01,301356.71,267841.67,279450.08,220281.69
2019-07-15,296923.38,258806.23,271524.58,222253.52
2019-07-29,295252.56,258702.58,273660.50,215492.96
2019-08-12,276550.19,247618.02,262643.45,197183.10
2019-08-26,282547.28,251890.68,267386.78,201971.83
2019-09-09,293361.77,266067.96,282086.87,212112.68
2019-09-23,286528.70,261875.41,276244.35,211830.99
2019-09-30,284208.83,255551.91,270838.73,203943.66
2019-10-21,291888.66,258580.39,275546.98,202535.21
2019-11-04,295858.13,261736.01,282454.17,203661.97
2019-11-18,292190.93,255904.73,277470.37,197183.10
2019-12-02,282338.74,252967.35,272367.45,192957.75
2019-12-16,288250.90,262518.94,283123.35,201690.14
2019-12-30,294288.41,267412.50,289803.71,209014.08
2020-01-13,301004.45,274057.80,298491.14,212676.06
2020-01-23,290501.78,261827.16,284284.58,194647.89
2020-02-10,284484.98,254258.71,278043.79,179718.31
2020-02-24,288873.71,266639.24,293439.39,187605.63
2020-03-09,283170.11,258903.46,283803.98,190140.85
2020-03-23,257231.69,233998.82,250658.40,169295.77
2020-04-03,272100.01,243131.24,263645.54,169014.08
2020-04-20,279792.20,250921.80,273602.62,170704.23
2020-04-30,281075.06,251584.12,277800.40,166760.56
2020-05-18,292656.42,252933.08,278534.17,165070.42
2020-06-01,292941.32,256452.82,281972.68,187605.63
2020-06-15,292765.13,254218.50,280811.67,181408.45
2020-06-29,301519.79,260506.67,291797.66,176338.03
2020-07-13,331674.92,302885.05,344569.44,250422.54
2020-07-27,327598.52,281944.40,321528.53,198591.55
2020-08-10,338200.81,297252.38,335474.71,208169.01
2020-08-24,340600.30,297814.10,337674.30,207042.25
2020-09-07,331181.56,289629.27,331533.96,198028.17
2020-09-21,329435.56,291770.70,333100.29,198028.17
2020-09-30,328516.93,283072.56,325713.76,186760.56
2020-10-19,337681.00,291395.27,337648.66,191267.61
2020-11-02,337626.00,283694.25,335187.97,182253.52
2020-11-16,357568.17,294412.62,348205.48,196901.41
2020-11-30,345846.81,298352.16,352187.29,204225.35
2020-12-14,362236.23,296361.10,350382.65,195492.96
2020-12-28,363069.33,298838.63,359583.04,191267.61
2021-01-11,404238.22,310644.48,386332.55,187605.63
2021-01-25,417074.12,318802.28,399451.21,186478.87
2021-02-08,402435.51,310727.95,395094.44,177464.79
2021-02-22,444283.93,320403.83,397421.23,189295.77
2021-03-08,440828.95,300961.09,360691.38,190422.54
2021-03-22,434022.87,302898.50,359067.38,203380.28
2021-04-02,438450.23,306500.91,366480.32,199154.93
2021-04-19,433131.24,305898.89,361187.81,199718.31
2021-04-30,437610.83,303199.09,363777.43,190422.54
2021-05-17,437342.30,309423.37,368143.79,195211.27
2021-05-31,446860.00,318031.65,378551.55,191267.61
2021-06-11,444036.16,315768.41,370963.82,188732.39
2021-06-28,455116.31,317230.73,372884.94,189295.77
2021-07-12,453064.68,312081.67,364432.05,184788.73
2021-07-26,432753.99,305009.78,349705.57,181126.76
2021-08-09,441595.73,307401.87,353984.40,180281.69
2021-08-23,454608.17,305862.26,343356.52,184225.35
2021-09-06,473964.94,318593.04,350303.91,192957.75
2021-09-17,484536.06,317898.74,344780.96,194929.58
2021-09-30,475211.81,313870.03,345522.39,186478.87
2021-10-18,480549.60,313867.49,346118.29,184788.73
2021-11-01,477412.11,311786.40,347247.91,179154.93
2021-11-15,494093.25,310803.24,346658.07,198028.17
2021-11-29,512649.52,313388.87,344460.23,211549.30
2021-12-13,524197.59,323802.50,360959.49,204507.04
2021-12-27,543590.98,318075.35,349281.32,215211.27
2022-01-10,539601.62,316100.09,343936.38,218873.24
2022-01-24,535595.09,309994.18,339867.45,200845.07
2022-02-07,513175.50,301679.47,329029.17,210985.92
2022-02-21,526401.90,307048.03,329045.09,215211.27
2022-03-07,526057.05,296689.65,309055.45,221690.14
2022-03-21,501523.71,286207.03,302379.03,204507.04
2022-04-01,521512.87,288760.71,303615.32,229295.77
2022-04-18,503532.92,281090.90,295821.19,232676.06
2022-04-29,426162.23,268031.63,285160.72,193239.44
2022-05-16,467118.34,270379.07,280921.68,215774.65
2022-05-30,476000.29,277003.81,286067.91,232957.75
2022-06-13,491285.93,286371.12,297451.98,224788.73
2022-06-27,433463.26,297246.46,315551.16,223380.28
2022-07-11,489845.34,291475.92,309186.04,220000.00
2022-07-25,493508.89,285916.95,299105.72,227887.32
2022-08-08,501922.80,284733.46,294521.16,232957.75
2022-08-22,537105.15,288327.72,296887.08,241690.14
2022-09-05,537255.69,281476.87,285102.89,236338.03
2022-09-19,511450.98,274060.64,278895.45,209014.08
2022-09-30,480756.40,266037.32,270154.07,199436.62
2022-10-17,502627.92,271363.70,273102.54,210985.92
2022-10-31,486976.31,254522.17,249124.59,204225.35
2022-11-14,516844.14,271228.15,269382.41,211549.30
2022-11-28,524406.12,270801.27,265067.29,214929.58
2022-12-12,538115.30,279641.05,280701.97,216338.03
2022-12-26,512516.95,269658.98,272894.98,205352.11
2023-01-09,526645.84,279380.93,284939.10,204225.35
2023-01-20,536514.23,287185.90,296896.32,215774.65
2023-02-06,553503.13,284888.64,290176.08,218309.86
2023-02-20,563840.39,289431.14,293485.60,208450.70
2023-03-06,575274.60,292218.51,291747.51,214929.58
2023-03-20,562100.11,284555.48,279681.93,213802.82
2023-04-03,563436.34,289964.00,290438.05,205070.42
2023-04-17,551608.10,297811.57,294614.10,221126.76
2023-04-28,552127.30,292328.35,286072.73,212394.37
2023-05-15,569557.98,291225.46,283928.57,220281.69
2023-05-29,560093.26,283371.31,272217.12,207042.25
2023-06-12,543420.44,284020.94,272961.99,217183.10
2023-06-26,524082.10,277140.87,270495.65,204507.04
2023-07-10,557443.41,281809.72,272954.50,222816.90
2023-07-24,560804.47,278332.07,270177.90,227887.32
2023-08-07,565861.72,287539.28,283308.43,219154.93
2023-08-21,561851.29,272070.52,264805.48,214929.58
2023-09-04,569007.23,279466.76,273282.87,214084.51
2023-09-18,565172.49,274969.30,264674.55,210704.23
2023-09-28,560252.47,273609.68,261962.72,207887.32
2023-10-16,548933.80,270384.72,257495.28,205915.49
2023-10-30,559349.20,265787.76,254454.59,196338.03
2023-11-13,575345.64,267985.06,254145.19,202535.21
2023-11-27,578132.67,266680.31,249354.57,203661.97
2023-12-11,570364.29,263138.73,242787.77,201408.45
