date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000300.SH,excess_000300.SH,bench_ret_000905.SZ,excess_000905.SZ
2018-01-29,-0.13856183,8,0.03299014,-0.17155198,0.01817147,-0.15673330,0.00187793,-0.14043977
2018-02-12,-0.09306389,8,-0.10470486,0.01164097,-0.09574890,0.00268501,-0.14245548,0.04939160
2018-02-26,0.20542268,7,0.05562502,0.14979765,0.05869097,0.14673171,0.12896175,0.07646093
2018-03-12,0.07007257,12,-0.00086332,0.07093589,0.00224542,0.06782714,0.03097773,0.03909483
2018-03-26,-0.05663590,7,-0.05800867,0.00137277,-0.06002743,0.00339153,-0.13333333,0.07669744
2018-04-09,0.02194597,20,0.00145890,0.02048707,-0.00694962,0.02889560,0.11484290,-0.09289693
2018-04-23,-0.08702677,8,-0.02239485,-0.06463193,-0.02247731,-0.06454946,-0.10106900,0.01404222
2018-05-07,0.00433496,13,0.02237045,-0.01803549,0.01801809,-0.01368313,0.01081081,-0.00647585
2018-05-21,0.02773460,13,0.02461088,0.00312371,0.02270478,0.00502981,0.02459893,0.00313567
2018-06-04,-0.03423827,7,-0.03816291,0.00392464,-0.02898673,-0.00525154,-0.03340292,-0.00083535
2018-06-15,-0.09095302,7,-0.02241534,-0.06853768,-0.01422014,-0.07673288,-0.05507559,-0.03587743
2018-07-02,-0.02446575,7,-0.08151949,0.05705374,-0.09204105,0.06757531,-0.11428571,0.08981997
2018-07-16,-0.00869150,12,0.01386561,-0.02255711,0.01881537,-0.02750687,-0.02064516,0.01195366
2018-07-30,0.03834781,12,0.01954758,0.01880024,0.01238261,0.02596520,0.02898551,0.00936231
2018-08-13,0.00602561,11,-0.02899131,0.03501692,-0.03548577,0.04151138,0.02048656,-0.01446094
2018-08-27,-0.01897290,12,-0.00178508,-0.01718783,0.00478695,-0.02375985,-0.05646173,0.03748883
2018-09-10,-0.05634880,7,-0.04006420,-0.01628459,-0.05181318,-0.00453562,-0.05984043,0.00349163
2018-09-21,0.04355419,11,0.04794944,-0.00439526,0.05585563,-0.01230145,0.01697313,0.02658106
2018-10-08,-0.03129010,7,-0.02894543,-0.00234467,-0.03506445,0.00377435,-0.04033380,0.00904370
2018-10-22,-0.01080436,7,-0.02268874,0.01188438,-0.00626747,-0.00453689,-0.13043478,0.11963042
2018-11-05,0.06963116,12,0.00397548,0.06565568,-0.00227446,0.07190561,0.02500000,0.04463116
2018-11-19,0.03160227,12,0.01428700,0.01731527,0.00973632,0.02186595,0.10406504,-0.07246277
2018-12-03,-0.03613339,20,-0.01801864,-0.01811475,-0.01021455,-0.02591884,0.02356406,-0.05969746
2018-12-17,-0.03645364,20,-0.02140438,-0.01504926,-0.03059035,-0.00586329,-0.06906475,0.03261111
2018-12-28,-0.05415789,20,-0.04006103,-0.01409686,-0.04762216,-0.00653573,-0.06336940,0.00921151
2019-01-14,0.05853461,12,0.01678863,0.04174598,0.01897624,0.03955837,0.05280528,0.00572933
2019-01-28,0.02125373,11,0.02413922,-0.00288549,0.03781009,-0.01655635,-0.03291536,0.05416909
2019-02-11,0.02522270,11,0.02191752,0.00330517,0.03853749,-0.01331479,0.00810373,0.01711897
2019-02-25,0.07929368,25,0.11582496,-0.03653128,0.12793411,-0.04864042,0.13504823,-0.05575455
2019-03-11,0.01765699,24,0.02218940,-0.00453241,0.00012643,0.01753057,0.02832861,-0.01067162
2019-03-25,0.04560349,25,0.00529859,0.04030489,0.00345061,0.04215288,0.33471074,-0.28910726
2019-04-08,0.10355831,25,0.06630855,0.03724975,0.08400163,0.01955668,-0.03818369,0.14174200
2019-04-22,-0.02915783,19,-0.00917394,-0.01998389,-0.00779293,-0.02136490,-0.01287554,-0.01628229
2019-05-06,-0.07561057,19,-0.09597963,0.02036906,-0.08470617,0.00909561,-0.18913043,0.11351987
2019-05-20,-0.02442787,8,-0.01233781,-0.01209006,-0.01813605,-0.00629182,0.00134048,-0.02576835
2019-06-03,0.04869793,7,0.00678474,0.04191319,0.00393066,0.04476727,0.01070950,0.03798842
2019-06-17,0.01080694,7,-0.00085077,0.01165771,0.00628084,0.00452609,-0.03973510,0.05054203
2019-07-01,0.12793549,11,0.05446720,0.07346829,0.07688106,0.05105443,0.07862069,0.04931480
2019-07-15,-0.02403879,11,-0.03373425,0.00969545,-0.02836106,0.00432227,0.00895141,-0.03299020
2019-07-29,-0.00785081,7,-0.00040048,-0.00745033,0.00786640,-0.01571721,-0.03041825,0.02256744
2019-08-12,-0.07227663,7,-0.04284675,-0.02942988,-0.04025813,-0.03201851,-0.08496732,0.01269069
2019-08-26,0.03205616,11,0.01725506,0.01480110,0.01805999,0.01399617,0.02428571,0.00777044
2019-09-09,0.04050557,11,0.05628347,-0.01577790,0.05497685,-0.01447128,0.05020921,-0.00970364
2019-09-23,-0.02892948,19,-0.01575743,-0.01317205,-0.02071177,-0.00821771,-0.00132802,-0.02760146
2019-09-30,-0.00703185,19,-0.02414701,0.01711516,-0.01956824,0.01253639,-0.03723404,0.03020219
2019-10-21,0.03099884,19,0.01185076,0.01914808,0.01738396,0.01361488,-0.00690608,0.03790492
2019-11-04,0.02254563,20,0.01220363,0.01034200,0.02506720,-0.00252157,0.00556328,0.01698235
2019-11-18,-0.01295241,7,-0.02227924,0.00932683,-0.01764463,0.00469222,-0.03181189,0.01885948
2019-12-02,-0.04329646,7,-0.01147841,-0.03181804,-0.01839087,-0.02490559,-0.02142857,-0.02186788
2019-12-16,0.02138910,11,0.03775820,-0.01636910,0.03949040,-0.01810130,0.04525547,-0.02386638
2019-12-30,0.02697526,24,0.01864078,0.00833448,0.02359521,0.00338005,0.03631285,-0.00933759
2020-01-13,0.02645297,24,0.02485036,0.00160260,0.02997695,-0.00352398,0.01752022,0.00893275
2020-01-23,-0.03648332,20,-0.04462796,0.00814463,-0.04759457,0.01111124,-0.08476821,0.04828489
2020-02-10,-0.02504447,20,-0.02890626,0.00386179,-0.02195261,-0.00309186,-0.07670043,0.05165596
2020-02-24,0.01591907,23,0.04869265,-0.03277358,0.05537112,-0.03945205,0.04388715,-0.02796808
2020-03-09,-0.01878896,20,-0.02901215,0.01022319,-0.03283610,0.01404714,0.01351351,-0.03230247
2020-03-23,-0.11242434,19,-0.09619277,-0.01623156,-0.11679040,0.00436606,-0.10962963,-0.00279471
2020-04-03,0.06175389,7,0.03902762,0.02272627,0.05181208,0.00994180,-0.00166389,0.06341778
2020-04-20,0.03045853,11,0.03204262,-0.00158409,0.03776692,-0.00730839,0.01000000,0.02045853
2020-04-30,-0.00174204,12,0.00263953,-0.00438157,0.01534262,-0.01708466,-0.02310231,0.02136027
2020-05-18,0.04673567,12,0.00536187,0.04137379,0.00264135,0.04409431,-0.01013514,0.05687080
2020-06-01,-0.00135832,11,0.01391572,-0.01527404,0.01234504,-0.01370336,0.13651877,-0.13787709
2020-06-15,-0.03963800,19,-0.00871243,-0.03092557,-0.00411748,-0.03552052,-0.03303303,-0.00660497
2020-06-29,0.04304964,18,0.02473531,0.01831433,0.03912226,0.00392738,-0.02795031,0.07099995
2020-07-13,0.10934303,23,0.16267676,-0.05333374,0.18085063,-0.07150760,0.42012780,-0.31078477
2020-07-27,-0.02708575,19,-0.06913729,0.04205155,-0.06686870,0.03978295,-0.20697413,0.17988838
2020-08-10,0.04014385,18,0.05429432,-0.01415046,0.04337460,-0.00323074,0.04822695,-0.00808310
2020-08-24,0.01419883,19,0.00188974,0.01230909,0.00655667,0.00764216,-0.00541272,0.01961155
2020-09-07,-0.02516917,19,-0.02748303,0.00231386,-0.01818422,-0.00698496,-0.04353741,0.01836824
2020-09-21,-0.00218609,18,0.00739369,-0.00957978,0.00472449,-0.00691059,0.00000000,-0.00218609
2020-09-30,-0.00079856,19,-0.02981156,0.02901300,-0.02217508,0.02137653,-0.05689900,0.05610045
