date,model_a_score,model_b_score,small_cap,industry_momentum,market_state
2018-01-29,-0.13650498,-0.13670790,-0.13856183,-0.10491110,-0.04156855
2018-02-12,-0.09230850,-0.09184363,-0.09306389,-0.05805414,-0.02791917
2018-02-26,0.20339807,0.19972786,0.20542268,0.16825096,0.06162680
2018-03-12,0.06882518,0.06895091,0.07007257,0.05508482,0.03503628
2018-03-26,-0.05596069,-0.05589610,-0.05663590,-0.04665719,-0.01699077
2018-04-09,0.02161917,0.02144603,0.02194597,0.01398138,0.01755678
2018-04-23,-0.08625818,-0.08560129,-0.08702677,-0.06920701,-0.02610803
2018-05-07,0.00429210,0.00429764,0.00433496,0.00281337,0.00216748
2018-05-21,0.02746694,0.02728405,0.02773460,0.01949350,0.01386730
2018-06-04,-0.03397256,-0.03382804,-0.03423827,-0.02576022,-0.01027148
2018-06-15,-0.08958026,-0.08997064,-0.07795959,-0.06193456,-0.02728586
2018-07-02,-0.02867881,-0.02822007,-0.02881224,-0.02044297,-0.00864367
2018-07-16,-0.00862281,-0.00844903,-0.00798990,-0.00466399,-0.00434343
2018-07-30,0.03824399,0.03837439,0.03867584,0.02049144,0.01933792
2018-08-13,0.00574090,0.00567650,0.00288668,0.00384535,0.00289277
2018-08-27,-0.01495199,-0.01492456,-0.01009804,-0.00897737,-0.00758141
2018-09-10,-0.06147300,-0.06043218,-0.00884300,-0.04657312,-0.01857029
2018-09-21,0.04253372,0.04199614,0.02129822,0.03137158,0.02142789
2018-10-08,-0.02758043,-0.02734513,-0.00398043,-0.02454599,-0.00835890
2018-10-22,0.02640369,0.02618688,0.00764690,0.02141132,0.00802925
2018-11-05,0.00648651,0.00647529,0.00053894,0.00536348,0.00328296
2018-11-19,0.00475522,0.00476583,0.00160723,0.00427256,0.00241085
2018-12-03,-0.02944601,-0.02918805,-0.01841598,-0.02284988,-0.02386022
2018-12-17,-0.03015612,-0.02983964,-0.01871265,-0.02174750,-0.02445405
2018-12-28,-0.04939739,-0.04932688,-0.02325362,-0.03540214,-0.04016421
2019-01-14,0.03572711,0.03558170,0.00601804,0.02978929,0.01805411
2019-01-28,0.04164344,0.04163641,0.00353782,0.03306409,0.02107243
2019-02-11,0.02892042,0.02853075,0.00968541,0.02179440,0.01458724
2019-02-25,0.06806186,0.06778047,0.01368116,0.04654537,0.06923267
2019-03-11,0.00674406,0.00663465,0.00297018,0.00421170,0.00684028
2019-03-25,0.04034675,0.03971428,0.01835441,0.02451007,0.04085848
2019-04-08,0.10050537,0.09971392,0.04161026,0.05816824,0.10178415
2019-04-22,-0.03042861,-0.03016995,-0.00317195,-0.01813394,-0.02455765
2019-05-06,-0.06721375,-0.06718101,-0.01671071,-0.05019531,-0.05448831
2019-05-20,-0.02749710,-0.02749160,-0.00000000,-0.02652320,-0.00831324
2019-06-03,0.04783258,0.04790049,0.00000000,0.04236466,0.01450529
2019-06-17,0.01089826,0.01086211,0.00000000,0.00996091,0.00328553
2019-07-01,0.12823070,0.12819073,0.00000000,0.11532572,0.06457836
2019-07-15,-0.02041078,-0.02022527,-0.00000000,-0.01756437,-0.01032842
2019-07-29,-0.00228176,-0.00226672,-0.00000000,-0.00191120,-0.00069199
2019-08-12,-0.04142323,-0.04144914,-0.00000000,-0.03061261,-0.01260519
2019-08-26,0.03039119,0.03031860,0.00000000,0.02423887,0.01535543
2019-09-09,0.03812767,0.03797894,0.00000000,0.03435899,0.01926361
2019-09-23,-0.02291529,-0.02281293,-0.00100594,-0.01800351,-0.01853042
2019-09-30,-0.00217541,-0.00215507,-0.00009780,-0.00176826,-0.00175506
2019-10-21,0.03000139,0.02976608,0.00000000,0.02553621,0.02429323
2019-11-04,0.02721278,0.02722988,0.00000000,0.02194707,0.02202778
2019-11-18,-0.01192153,-0.01193841,-0.00000000,-0.01016900,-0.00359914
2019-12-02,-0.04319694,-0.04304430,-0.00000000,-0.03426298,-0.01300342
2019-12-16,0.02129222,0.02129821,0.00000000,0.01551414,0.01071479
2019-12-30,0.02659660,0.02663902,0.00000000,0.01846373,0.02694965
2020-01-13,0.02073270,0.02060051,0.00000000,0.01335808,0.02101504
2020-01-23,-0.03806485,-0.03808375,-0.00000000,-0.02460504,-0.03076969
2020-02-10,-0.02606412,-0.02586359,-0.00000000,-0.01467793,-0.02115183
2020-02-24,0.01438876,0.01439513,0.00000000,0.00882624,0.01459983
2020-03-09,-0.01755939,-0.01749382,-0.00000000,-0.01113221,-0.01420941
2020-03-23,-0.11264994,-0.11232520,-0.00000000,-0.07048935,-0.09146304
2020-04-03,0.06529856,0.06548072,0.00000000,0.04695487,0.01985340
2020-04-20,0.03054097,0.03048933,0.00000000,0.02165844,0.01538743
2020-04-30,-0.00224054,-0.00223987,-0.00000000,-0.00161499,-0.00113095
2020-05-18,0.02180482,0.02187151,0.00000000,0.01705120,0.01099850
2020-06-01,-0.00102403,-0.00103193,-0.00000000,-0.00080629,-0.00051841
2020-06-15,-0.03151679,-0.03151531,-0.00000000,-0.01897308,-0.02555362
2020-06-29,0.05119902,0.05095839,0.00000000,0.03225055,0.04145625
2020-07-13,0.12705154,0.12563372,0.00000000,0.08481481,0.12837147
2020-07-27,-0.02300538,-0.02286697,-0.00000000,-0.01729442,-0.01863200
2020-08-10,0.03298906,0.03297924,0.00000000,0.02489356,0.02678660
2020-08-24,0.01225912,0.01224201,0.00000000,0.00973888,0.00991153
2020-09-07,-0.02527135,-0.02512598,-0.00000000,-0.02029177,-0.02044636
2020-09-21,-0.00197875,-0.00197284,-0.00000000,-0.00157762,-0.00159865
2020-09-30,-0.00033734,-0.00033792,-0.00000000,-0.00026893,-0.00027428
2020-10-19,0.03255190,0.03258168,0.00000000,0.02669691,0.01640083
2020-11-02,-0.00203162,-0.00203437,-0.00000000,-0.00161412,-0.00061259
2020-11-16,0.07242035,0.07248237,0.00000000,0.06015356,0.03645878
2020-11-30,-0.03595982,-0.03578249,-0.00170289,-0.02685286,-0.02900146
2020-12-14,0.06781850,0.06787718,0.00308045,0.05276729,0.05488414
2020-12-28,0.02525728,0.02528408,0.00000000,0.02219551,0.00764108
2021-01-11,0.09823667,0.09830330,0.00000000,0.08186415,0.02964047
2021-01-25,0.02885006,0.02875076,0.00726786,0.02438801,0.01453594
2021-02-08,-0.01148164,-0.01153877,-0.00667640,-0.01040406,-0.00350511
2021-02-22,0.05551270,0.05514366,0.02803951,0.04197832,0.02802526
2021-03-08,-0.03939976,-0.03907032,-0.00664240,-0.03339268,-0.01989769
2021-03-22,0.00951912,0.00944828,0.00093807,0.00657458,0.00767337
2021-04-02,0.05958577,0.05962584,0.01161624,0.04342383,0.04817328
2021-04-19,-0.02490313,-0.02485268,-0.00194164,-0.01585583,-0.02519768
2021-04-30,0.01882295,0.01864145,0.00547282,0.01384100,0.01526496
2021-05-17,-0.00827183,-0.00828802,-0.00043884,-0.00595737,-0.00669718
2021-05-31,0.01271285,0.01264981,0.00199772,0.00917172,0.01283693
2021-06-11,-0.00588772,-0.00586477,-0.00054474,-0.00398929,-0.00474621
2021-06-28,0.05597073,0.05584696,0.00562507,0.03496775,0.04521724
2021-07-12,-0.03537628,-0.03519241,-0.01779807,-0.02085040,-0.02865261
2021-07-26,-0.04453715,-0.04430837,-0.02679947,-0.02363506,-0.03614942
2021-08-09,0.03242148,0.03222706,0.02939675,0.02162771,0.02639657
2021-08-23,0.02422365,0.02418917,0.02153245,0.01334555,0.02464421
2021-09-06,0.04136236,0.04106034,0.00813299,0.02697996,0.03351791
2021-09-17,0.02651908,0.02629869,0.00395016,0.01649736,0.02143433
2021-09-30,-0.00629875,-0.00627415,-0.00031176,-0.00419892,-0.00510961
2021-10-18,0.01604572,0.01595794,0.00383867,0.01085667,0.01306070
2021-11-01,0.01202162,0.01191970,0.00918366,0.00901359,0.00612244
2021-11-15,0.01755760,0.01727543,0.00739814,0.01326022,0.00887066
2021-11-29,0.03884016,0.03879153,0.01761850,0.02407445,0.03976817
2021-12-13,0.03754580,0.03718646,0.02665847,0.02549689,0.03057327
2021-12-27,0.02632128,0.02645503,0.01467623,0.02100912,0.02142654
2022-01-10,-0.03929413,-0.03908367,-0.02207637,-0.02853483,-0.03199002
2022-01-24,0.00068572,0.00068248,0.00049598,0.00046970,0.00056185
2022-02-07,-0.04544474,-0.04498631,-0.03244363,-0.02619724,-0.03688686
2022-02-21,0.03544309,0.03511406,0.02984591,0.01850446,0.01790754
2022-03-07,-0.00930894,-0.00925526,-0.00626244,-0.00391402,-0.00469683
2022-03-21,-0.03785710,-0.03767865,-0.02727272,-0.02036363,-0.01145454
2022-04-01,0.02019752,0.02014615,0.01368456,0.00834106,0.01027387
2022-04-18,-0.05662257,-0.05588376,-0.01629943,-0.03450046,-0.01711440
2022-04-29,-0.09284945,-0.09253062,-0.05351819,-0.05976198,-0.02809705
2022-05-16,0.07330815,0.07242019,0.01238593,0.06063247,0.03711784
2022-05-30,-0.00060501,-0.00061425,-0.00030906,-0.00044264,-0.00030886
2022-06-13,0.00316677,0.00318386,0.00133917,0.00233325,0.00160850
2022-06-27,-0.09388460,-0.09312396,-0.06186388,-0.06620889,-0.09538992
2022-07-11,0.11174419,0.11239863,0.06205924,0.06919970,0.09154678
2022-07-25,0.00083654,0.00082517,0.00033704,0.00061197,0.00067804
2022-08-08,0.00052353,0.00052055,0.00050661,0.00029904,0.00042534
2022-08-22,0.05395015,0.05407299,0.05481299,0.03373248,0.04385039
2022-09-05,0.00270920,0.00273264,0.00248582,0.00192814,0.00221627
2022-09-19,-0.05164641,-0.05189162,-0.05243416,-0.04144796,-0.01573025
2022-09-30,-0.05978225,-0.05994710,-0.06073513,-0.04887732,-0.01822054
2022-10-17,0.05319763,0.05309486,0.05376884,0.04510609,0.02688442
2022-10-31,-0.03230901,-0.03240229,-0.03269406,-0.02570239,-0.01634703
2022-11-14,0.05608637,0.05630577,0.05667868,0.05292735,0.02833934
2022-11-28,0.01451625,0.01457253,0.01398769,0.01118158,0.01175872
2022-12-12,0.02530327,0.02534426,0.02563627,0.01901663,0.02050902
2022-12-26,-0.04615576,-0.04565633,-0.04657430,-0.03501464,-0.03725944
2023-01-09,0.02741865,0.02740875,0.02630101,0.01913337,0.02221708
2023-01-20,0.01872237,0.01845534,0.01577923,0.01389182,0.00946941
2023-02-06,0.02871024,0.02861284,0.02919049,0.01915438,0.02919049
2023-02-20,0.01520664,0.01519315,0.01422555,0.01002197,0.01547275
2023-03-06,0.01873431,0.01852317,0.01897408,0.01244958,0.01517926
2023-03-20,-0.01908348,-0.01897856,-0.01930913,-0.01193194,-0.01544730
2023-04-03,-0.00340520,-0.00340989,-0.00344687,-0.00213895,-0.00275749
2023-04-17,-0.02109608,-0.02111577,-0.02138531,-0.01226178,-0.01710825
2023-04-28,-0.00338144,-0.00338351,-0.00340464,-0.00191994,-0.00170232
2023-05-15,0.03113992,0.03104956,0.03136877,0.02239037,0.01568438
2023-05-29,-0.01652228,-0.01653165,-0.01666194,-0.01018229,-0.00833097
2023-06-12,-0.03019487,-0.03017784,-0.03046609,-0.02115701,-0.01523304
2023-06-26,-0.03549991,-0.03568139,-0.03593453,-0.02840539,-0.01078036
2023-07-10,0.06318279,0.06311045,0.06408485,0.04185510,0.05126788
2023-07-24,0.00802595,0.00803693,0.00814290,0.00524418,0.00651432
2023-08-07,0.00687058,0.00683329,0.00692506,0.00438311,0.00554005
2023-08-21,-0.00691607,-0.00689402,-0.00696554,-0.00444468,-0.00208966
2023-09-04,0.01256479,0.01245727,0.01270578,0.00836445,0.00635289
2023-09-18,-0.00346843,-0.00345388,-0.00321624,-0.00252426,-0.00175423
2023-09-28,-0.00904737,-0.00906006,-0.00912977,-0.00623676,-0.00456488
2023-10-16,-0.01865986,-0.01855034,-0.01881862,-0.01317503,-0.00940931
2023-10-30,0.01249524,0.01250668,0.01258335,0.00915788,0.00629167
2023-11-13,0.02862616,0.02866810,0.02891071,0.02144211,0.01445536
2023-11-27,0.00490307,0.00490047,0.00496766,0.00343342,0.00397413
2023-12-11,-0.01537412,-0.01529587,-0.01552427,-0.01140006,-0.01241942
2023-12-25,-0.01657467,-0.01659770,-0.01680440,-0.01249652,-0.01344352
2024-01-08,0.01141287,0.01132395,0.01100350,0.00913690,0.00924272
2024-01-22,-0.06837933,-0.06847705,-0.06868610,-0.05593011,-0.02060583
2024-02-05,-0.19865375,-0.19916377,-0.20151378,-0.16792815,-0.06045413
