date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000300.SH,excess_000300.SH,bench_ret_000905.SZ,excess_000905.SZ
2018-01-29,-0.04072585,8,0.03299014,-0.07371599,0.01817147,-0.05889731,0.00187793,-0.04260378
2018-02-12,-0.03145579,6,-0.10470486,0.07324907,-0.09574890,0.06429311,-0.14245548,0.11099969
2018-02-26,0.05132273,10,0.05562502,-0.00430229,0.05869097,-0.00736823,0.12896175,-0.07763901
2018-03-12,0.02480731,25,-0.00086332,0.02567063,0.00224542,0.02256188,0.03097773,-0.00617043
2018-03-26,-0.05005745,3,-0.05800867,0.00795122,-0.06002743,0.00996998,-0.13333333,0.08327588
2018-04-09,0.00409390,21,0.00145890,0.00263500,-0.00694962,0.01104353,0.11484290,-0.11074900
2018-04-23,-0.07823159,4,-0.02239485,-0.05583675,-0.02247731,-0.05575428,-0.10106900,0.02283741
2018-05-07,0.00397794,11,0.02237045,-0.01839251,0.01801809,-0.01404015,0.01081081,-0.00683287
2018-05-21,0.00680254,26,0.02461088,-0.01780834,0.02270478,-0.01590224,0.02459893,-0.01779639
2018-06-04,-0.12562921,6,-0.03816291,-0.08746630,-0.02898673,-0.09664248,-0.03340292,-0.09222629
2018-06-15,0.06696135,6,-0.02241534,0.08937669,-0.01422014,0.08118149,-0.05507559,0.12203694
2018-07-02,-0.00925314,6,-0.08151949,0.07226634,-0.09204105,0.08278791,-0.11428571,0.10503257
2018-07-16,0.03009327,10,0.01386561,0.01622765,0.01881537,0.01127790,-0.02064516,0.05073843
2018-07-30,0.01708339,10,0.01954758,-0.00246419,0.01238261,0.00470078,0.02898551,-0.01190212
2018-08-13,0.00502188,9,-0.02899131,0.03401319,-0.03548577,0.04050765,0.02048656,-0.01546467
2018-08-27,-0.00806589,10,-0.00178508,-0.00628081,0.00478695,-0.01285284,-0.05646173,0.04839584
2018-09-10,-0.02179979,5,-0.04006420,0.01826441,-0.05181318,0.03001339,-0.05984043,0.03804064
2018-09-21,0.00563109,9,0.04794944,-0.04231836,0.05585563,-0.05022455,0.01697313,-0.01134204
2018-10-08,-0.01023790,3,-0.02894543,0.01870753,-0.03506445,0.02482655,-0.04033380,0.03009589
2018-10-22,-0.00130445,5,-0.02268874,0.02138429,-0.00626747,0.00496302,-0.13043478,0.12913033
2018-11-05,0.01304969,24,0.00397548,0.00907422,-0.00227446,0.01532415,0.02500000,-0.01195031
2018-11-19,0.01768756,25,0.01428700,0.00340056,0.00973632,0.00795124,0.10406504,-0.08637748
2018-12-03,-0.03269894,25,-0.01801864,-0.01468030,-0.01021455,-0.02248439,0.02356406,-0.05626301
2018-12-17,-0.03361193,16,-0.02140438,-0.01220755,-0.03059035,-0.00302158,-0.06906475,0.03545282
2018-12-28,-0.03239762,5,-0.04006103,0.00766341,-0.04762216,0.01522454,-0.06336940,0.03097178
2019-01-14,0.01311053,16,0.01678863,-0.00367810,0.01897624,-0.00586571,0.05280528,-0.03969475
2019-01-28,0.01164514,7,0.02413922,-0.01249408,0.03781009,-0.02616495,-0.03291536,0.04456050
2019-02-11,0.00644549,9,0.02191752,-0.01547204,0.03853749,-0.03209200,0.00810373,-0.00165824
2019-02-25,0.03284437,25,0.11582496,-0.08298059,0.12793411,-0.09508974,0.13504823,-0.10220386
2019-03-11,0.01909757,24,0.02218940,-0.00309182,0.00012643,0.01897115,0.02832861,-0.00923104
