date,model_a_score,model_b_score,small_cap,industry_momentum
2018-02-28,-0.08964694,-0.08942796,-0.09094884,-0.04657734
2018-03-30,0.01322658,0.01322437,0.01342968,0.00708025
2018-04-27,-0.02234987,-0.02237290,-0.02267275,-0.01231052
2018-05-31,-0.01463537,-0.01463916,-0.01483467,-0.00853723
2018-06-29,-0.08047393,-0.08021752,-0.08162002,-0.04613576
2018-07-31,0.07781791,0.07797226,0.07917764,0.04000411
2018-08-31,-0.03776843,-0.03783560,-0.03846202,-0.01965055
2018-09-28,-0.00344645,-0.00343504,-0.00350403,-0.00151899
2018-10-31,-0.07536073,-0.07543650,-0.07683167,-0.04094217
2018-11-30,0.15343857,0.15297425,0.15577323,0.08203288
2018-12-28,-0.06212530,-0.06227100,-0.02854357,-0.04872322
2019-01-31,0.04062989,0.04064861,0.02546455,0.03112280
2019-02-28,0.15089312,0.15196324,0.07439772,0.10223477
2019-03-29,0.08504799,0.08489591,0.04941170,0.04707495
2019-04-30,-0.01319442,-0.01327347,-0.00481901,-0.00952065
2019-05-31,-0.05609793,-0.05669378,-0.01569432,-0.03683504
2019-06-28,0.04437361,0.04438572,0.01226818,0.03038275
2019-07-31,-0.01095542,-0.01100538,-0.00304547,-0.00780340
2019-08-30,-0.01683581,-0.01688298,-0.00134463,-0.01284871
2019-09-30,-0.01407215,-0.01411585,-0.00161660,-0.01100490
2019-10-31,0.01284521,0.01290197,0.00197878,0.01007951
2019-11-29,0.00417341,0.00418502,0.00047990,0.00357197
2019-12-31,0.04827798,0.04813305,0.00000000,0.03210825
2020-01-23,-0.03071668,-0.03062079,-0.00000000,-0.01696734
2020-02-28,-0.04083196,-0.04076397,-0.00000000,-0.02273649
2020-03-31,-0.03732487,-0.03743684,-0.00000000,-0.01957288
2020-04-30,0.03903464,0.03926605,0.00000000,0.02283048
2020-05-29,-0.00174075,-0.00175136,-0.00000000,-0.00101212
2020-06-30,0.02426375,0.02426656,0.00000000,0.01650836
2020-07-31,0.07042244,0.07040543,0.00000000,0.05010793
2020-08-31,0.02310870,0.02310500,0.00000000,0.01911626
2020-09-30,-0.03527302,-0.03534599,-0.00000000,-0.02873712
2020-10-30,0.01863111,0.01870347,0.00000000,0.01412519
2020-11-30,0.05159842,0.05165172,0.00000000,0.03878472
2020-12-31,0.04167247,0.04206657,0.00000000,0.03075640
2021-01-29,0.03740344,0.03773295,0.00000000,0.02848993
2021-02-26,-0.02085078,-0.02087168,-0.00079834,-0.01484984
2021-03-31,-0.05058091,-0.05048669,-0.00000000,-0.03459157
2021-04-30,-0.01212426,-0.01234778,-0.00658679,-0.00697669
2021-05-31,0.04234973,0.04301629,0.02217347,0.02952962
2021-06-30,0.03830142,0.03861911,0.02036081,0.02441294
2021-07-30,-0.01229638,-0.01243681,-0.00607665,-0.00699486
2021-08-31,0.06638982,0.06658904,0.00000000,0.03768966
2021-09-30,-0.01096373,-0.01087965,-0.00043259,-0.00840400
2021-10-29,0.03724864,0.03735591,0.00275256,0.02365280
2021-11-30,0.02790760,0.02783415,0.00000000,0.02097615
2021-12-31,-0.00406439,-0.00406601,-0.00134616,-0.00336651
2022-01-28,-0.08039304,-0.08034328,-0.04283357,-0.04819787
2022-02-28,0.05397492,0.05439742,0.01999719,0.03071250
2022-03-31,-0.05449714,-0.05486758,-0.03468522,-0.02342604
2022-04-29,-0.11690025,-0.11722164,-0.03803417,-0.07058717
2022-05-31,0.06946979,0.06971493,0.01076032,0.05035942
2022-06-30,0.03237001,0.03239499,0.00646801,0.02223101
2022-07-29,-0.00274319,-0.00277528,-0.00099711,-0.00211496
2022-08-31,-0.01429058,-0.01436797,-0.01457075,-0.00936686
2022-09-30,-0.05777112,-0.05844159,-0.05692060,-0.03956731
2022-10-31,0.03126614,0.03140094,0.03180451,0.02370526
2022-11-30,0.07737817,0.07794546,0.07919252,0.05351837
2022-12-30,-0.04253241,-0.04269276,-0.04318659,-0.02711977
2023-01-31,0.06062167,0.06121439,0.06201475,0.04330485
2023-02-28,0.02987904,0.02990092,0.03031792,0.02030060
2023-03-31,-0.02175562,-0.02180256,-0.02208780,-0.01292643
2023-04-28,-0.00450643,-0.00451791,-0.00455647,-0.00208250
2023-05-31,0.01654963,0.01663474,0.01682737,0.00932068
2023-06-30,0.02006621,0.02021934,0.02039616,0.01082626
2023-07-31,0.05853237,0.05877133,0.05951773,0.04033103
2023-08-31,-0.03073224,-0.03096104,-0.03128093,-0.01570646
2023-09-28,0.00445988,0.00447426,0.00451873,0.00254878
2023-10-31,-0.00869541,-0.00872494,-0.00848239,-0.00577340
2023-11-30,0.03170974,0.03176847,0.03214150,0.02223780
2023-12-29,-0.00770382,-0.00770844,-0.00781786,-0.00576755
2024-01-31,-0.14206286,-0.14224021,-0.14433814,-0.09978064
2024-02-29,0.01010716,0.01011720,0.01027245,0.00661667
2024-03-29,0.04605687,0.04639501,0.04699704,0.02920569
2024-04-30,-0.01061633,-0.01061980,-0.01075948,-0.00669066
2024-05-31,-0.02316642,-0.02321292,-0.02352878,-0.01528019
2024-06-28,-0.08888721,-0.08912598,-0.09029473,-0.05650235
2024-07-31,0.05896193,0.05917680,0.05987466,0.03315924
2024-08-30,-0.01192488,-0.01194178,-0.01207155,-0.00703871
2024-09-30,0.18712127,0.18890346,0.19084763,0.11946530
2024-10-31,0.08587254,0.08617946,0.08714522,0.04973760
2024-11-29,0.10284732,0.10306651,0.10463965,0.06631165
2024-12-31,-0.08448700,-0.08443628,-0.08221125,-0.04318365
2025-01-27,-0.00163762,-0.00163378,-0.00159405,-0.00091870
2025-02-28,0.01257358,0.01260125,0.01271867,0.00666477
2025-03-31,0.00817008,0.00821453,0.00829931,0.00492489
2025-04-30,0.01145132,0.01155648,0.00785686,0.00648940
2025-05-30,0.03613016,0.03617454,0.02793458,0.02436068
2025-06-30,0.01105259,0.01115668,0.00992465,0.00615609
2025-07-31,0.03746124,0.03754600,0.03210979,0.02526163
2025-08-29,0.02540030,0.02557430,0.01690699,0.01313529
2025-09-30,-0.02915157,-0.02912574,-0.02143384,-0.01589173
2025-10-31,0.02162120,0.02164363,0.02010548,0.01256327
2025-11-28,-0.00633427,-0.00634121,-0.00282132,-0.00405795
2025-12-31,-0.01163125,-0.01169260,-0.01128608,-0.00664052
