date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000300.SH,excess_000300.SH,bench_ret_000905.SZ,excess_000905.SZ
2018-02-28,-0.09094884,26,-0.06361275,-0.02733609,-0.05899511,-0.03195374,-0.04018692,-0.05076193
2018-03-30,0.01342968,27,-0.02776928,0.04119895,-0.03110212,0.04453180,-0.04965920,0.06308888
2018-04-27,-0.02267275,27,-0.02734864,0.00467588,-0.03632712,0.01365437,-0.06045082,0.03777806
2018-05-31,-0.01483467,27,0.00429627,-0.01913094,0.01211097,-0.02694564,0.01635769,-0.03119236
2018-06-29,-0.08162002,26,-0.08013494,-0.00148508,-0.07663403,-0.00498599,-0.15557940,0.07395938
2018-07-31,0.07917764,25,0.01017862,0.06899902,0.00190041,0.07727723,-0.00889454,0.08807218
2018-08-31,-0.03846202,25,-0.05254866,0.01408664,-0.05206682,0.01360480,-0.04871795,0.01025593
2018-09-28,-0.00350403,25,0.03526289,-0.03876693,0.03129740,-0.03480144,-0.04582210,0.04231807
2018-10-31,-0.07683167,25,-0.07746890,0.00063723,-0.08288825,0.00605658,-0.16949153,0.09265986
2018-11-30,0.15577323,25,-0.00560773,0.16138096,0.00598214,0.14979110,0.15646259,-0.00068935
2018-12-28,-0.06325605,25,-0.03643140,-0.02682464,-0.05107224,-0.01218380,-0.10882353,0.04556748
2019-01-31,0.04139168,24,0.03635925,0.00503242,0.06343456,-0.02204289,-0.01485149,0.05624316
2019-02-28,0.15437677,25,0.13788795,0.01648882,0.14609332,0.00828346,0.18927973,-0.03490296
2019-03-29,0.08674098,25,0.05093728,0.03580369,0.05531491,0.03142606,0.25070423,-0.16396325
2019-04-30,-0.01339956,25,-0.00401814,-0.00938142,0.01055429,-0.02395385,-0.06644144,0.05304188
2019-05-31,-0.05733886,24,-0.05835706,0.00101819,-0.07242689,0.01508803,-0.09529554,0.03795667
2019-06-28,0.04503515,22,0.02766151,0.01737364,0.05394197,-0.00890683,0.01866667,0.02636848
2019-07-31,-0.01117811,23,-0.01556713,0.00438902,0.00255427,-0.01373239,-0.00785340,-0.00332471
2019-08-30,-0.01711121,23,-0.01577808,-0.00133313,-0.00932705,-0.00778415,-0.06200528,0.04489407
2019-09-30,-0.01431177,22,0.00656658,-0.02087835,0.00393251,-0.01824428,0.01828411,-0.03259588
2019-10-31,0.01305136,22,0.00821527,0.00483610,0.01893385,-0.00588249,-0.01381215,0.02686352
2019-11-29,0.00424504,24,-0.01948573,0.02373077,-0.01494340,0.01918844,-0.03781513,0.04206017
2019-12-31,0.04895391,24,0.06202781,-0.01307390,0.06997507,-0.02102116,0.08733624,-0.03838234
2020-01-23,-0.03113677,25,-0.02412882,-0.00700795,-0.02262393,-0.00851284,-0.07496653,0.04382976
2020-02-28,-0.04138569,23,-0.03232770,-0.00905799,-0.01594757,-0.02543812,-0.07670043,0.03531475
2020-03-31,-0.03797265,22,-0.04513677,0.00716412,-0.06443923,0.02646658,-0.05329154,0.01531889
2020-04-30,0.03969427,23,0.03991788,-0.00022361,0.06142501,-0.02173073,-0.01986755,0.05956182
2020-05-29,-0.00178275,21,-0.00270307,0.00092032,-0.01164297,0.00986022,0.02195946,-0.02374221
2020-06-30,0.02472473,19,0.04639082,-0.02166608,0.07678788,-0.05206314,0.06611570,-0.04139097
2020-07-31,0.07151340,19,0.10900098,-0.03748758,0.12754254,-0.05602914,0.11937984,-0.04786644
2020-08-31,0.02337819,19,0.02588243,-0.00250423,0.02580786,-0.00242967,-0.00277008,0.02614828
2020-09-30,-0.03579236,22,-0.05230927,0.01651690,-0.04751033,0.01171797,-0.07916667,0.04337430
2020-10-30,0.01890556,18,0.00201376,0.01689179,0.02352937,-0.00462381,-0.00904977,0.02795533
2020-11-30,0.05228888,20,0.05185949,0.00042940,0.05642157,-0.00413268,0.10350076,-0.05121188
2020-12-31,0.04283222,17,0.02397408,0.01885814,0.05060965,-0.00777743,-0.01103448,0.05386670
2021-01-29,0.03826168,17,0.00287927,0.03538241,0.02699449,0.01126719,-0.07949791,0.11775959
2021-02-26,-0.02119941,19,0.00746790,-0.02866731,-0.00284077,-0.01835864,0.00303030,-0.02422972
2021-03-31,-0.05116941,17,-0.01914145,-0.03202795,-0.05404031,0.00287090,0.07854985,-0.12971926
2021-04-30,-0.01259701,21,0.00143667,-0.01403368,0.01488172,-0.02747873,-0.05322129,0.04062428
2021-05-31,0.04400635,19,0.04892020,-0.00491385,0.04061307,0.00339328,0.00443787,0.03956848
2021-06-30,0.03946961,21,-0.00671566,0.04618527,-0.02016828,0.05963790,-0.01914580,0.05861542
2021-07-30,-0.01269931,21,-0.05397632,0.04127701,-0.07903297,0.06633366,-0.05255255,0.03985324
2021-08-31,0.06730788,16,0.04314612,0.02416176,-0.00115556,0.06846344,0.05705230,0.01025558
2021-09-30,-0.01108948,21,0.00683606,-0.01792554,0.01264620,-0.02373568,-0.00749625,-0.00359322
2021-10-29,0.03816773,21,-0.00583793,0.04400566,0.00871027,0.02945746,-0.04229607,0.08046380
2021-11-30,0.02829804,19,0.00466578,0.02363226,-0.01563408,0.04393212,0.17823344,-0.14993539
2021-12-31,-0.00413449,21,0.02129366,-0.02542815,0.02242275,-0.02655724,0.00669344,-0.01082793
2022-01-28,-0.08203974,20,-0.07647057,-0.00556917,-0.07622932,-0.00581041,-0.05319149,-0.02884825
2022-02-28,0.05545885,18,0.03000699,0.02545185,0.00391648,0.05154237,0.07443820,-0.01897936
2022-03-31,-0.05594144,24,-0.06068310,0.00474166,-0.07836684,0.02242540,0.00653595,-0.06247739
2022-04-29,-0.11954828,25,-0.06307740,-0.05647088,-0.04886941,-0.07067887,-0.10909091,-0.01045737
2022-05-31,0.07044128,25,0.04573740,0.02470388,0.01874305,0.05169823,0.22594752,-0.15550624
2022-06-30,0.03288529,24,0.06659151,-0.03370622,0.09617292,-0.06328763,-0.06064209,0.09352738
2022-07-29,-0.00281181,23,-0.04277562,0.03996381,-0.07021363,0.06740183,0.01265823,-0.01547003
2022-08-31,-0.01457075,25,-0.01570755,0.00113680,-0.02188476,0.00731402,0.00750000,-0.02207075
2022-09-30,-0.05921630,25,-0.05550895,-0.00370736,-0.06716490,0.00794860,-0.12158809,0.06237179
2022-10-31,0.03180451,25,-0.04328396,0.07508847,-0.07784253,0.10964704,0.02401130,0.00779321
2022-11-30,0.07919252,25,0.08911489,-0.00992237,0.09813685,-0.01894433,0.05241379,0.02677873
2022-12-30,-0.04318659,25,-0.01969876,-0.02348783,0.00482666,-0.04801325,-0.05373526,0.01054867
2023-01-31,0.06201475,25,0.05386773,0.00814702,0.07367019,-0.01165544,0.06648199,-0.00446724
2023-02-28,0.03031792,25,0.00735213,0.02296579,-0.02102528,0.05134320,-0.03376623,0.06408415
2023-03-31,-0.02208780,25,-0.00205668,-0.02003112,-0.00455417,-0.01753364,-0.03091398,0.00882617
2023-04-28,-0.00455647,25,0.01540377,-0.01996025,-0.00539134,0.00083486,0.04576976,-0.05032624
2023-05-31,0.01682737,25,-0.03572085,0.05254822,-0.05721953,0.07404690,-0.00132626,0.01815363
2023-06-30,0.02039616,25,-0.00078079,0.02117695,0.01155922,0.00883694,0.03320053,-0.01280438
2023-07-31,0.05951773,25,0.02778756,0.03173017,0.04480954,0.01470819,0.04370180,0.01581593
2023-08-31,-0.03128093,25,-0.05200891,0.02072798,-0.06211339,0.03083247,-0.10221675,0.07093582
2023-09-28,0.00451873,25,-0.00301329,0.00753202,-0.02011825,0.02463698,0.01234568,-0.00782695
2023-10-31,-0.00881957,25,-0.02948254,0.02066296,-0.03171461,0.02289504,-0.04878049,0.03996092
2023-11-30,0.03214150,25,0.00361144,0.02853007,-0.02135834,0.05349985,0.03276353,-0.00062203
2023-12-29,-0.00781786,25,-0.01806727,0.01024941,-0.01861817,0.01080031,-0.01103448,0.00321663
2024-01-31,-0.14433814,25,-0.06265233,-0.08168580,-0.06288289,-0.08145525,-0.11854951,-0.02578862
2024-02-29,0.01027245,25,0.08126917,-0.07099673,0.09352967,-0.08325723,0.01107595,-0.00080350
2024-03-29,0.04699704,25,0.00862163,0.03837541,0.00608680,0.04091024,0.00782473,0.03917231
