date,model_a_score,model_b_score,small_cap,industry_momentum,market_state
2018-01-29,-0.01203639,-0.01205428,-0.01221775,-0.00925058,-0.00366533
2018-02-12,-0.00619661,-0.00619476,-0.00629116,-0.00520069,-0.00125823
2018-02-26,0.02031441,0.02000118,0.02052909,0.01450723,0.00821164
2018-03-12,0.02434230,0.02439825,0.02480731,0.01539437,0.02480731
2018-03-26,-0.00743479,-0.00744959,-0.00750862,-0.00550632,-0.00112629
2018-04-09,0.00402723,0.00401520,0.00409390,0.00246891,0.00347982
2018-04-23,-0.01161878,-0.01159565,-0.01173474,-0.00977895,-0.00176021
2018-05-07,0.00157567,0.00158155,0.00159118,0.00108730,0.00063647
2018-05-21,0.00671821,0.00667242,0.00680254,0.00404439,0.00680254
2018-06-04,-0.01864682,-0.01860123,-0.01884438,-0.01633180,-0.00282666
2018-06-15,0.01323359,0.01322450,0.01339227,0.01035669,0.00267845
2018-07-02,-0.00184124,-0.00180787,-0.00185063,-0.00154219,-0.00037013
2018-07-16,0.01185490,0.01183978,0.01203731,0.00686127,0.00481492
2018-07-30,0.00675664,0.00677689,0.00683336,0.00389501,0.00273334
2018-08-13,0.00199257,0.00198020,0.00120525,0.00125212,0.00080350
2018-08-27,-0.00318512,-0.00319206,-0.00258109,-0.00177450,-0.00129054
2018-09-10,-0.00427258,-0.00433373,-0.00348797,-0.00276131,-0.00087199
2018-09-21,0.00221500,0.00222789,0.00202719,0.00147159,0.00090097
2018-10-08,-0.00152253,-0.00149837,-0.00102379,-0.00134799,-0.00023035
2018-10-22,-0.00025667,-0.00025739,-0.00026089,-0.00017567,-0.00005218
2018-11-05,0.01282783,0.01274536,0.00425595,0.01027720,0.01304969
2018-11-19,0.01736727,0.01728273,0.01002834,0.01452323,0.01768756
2018-12-03,-0.03207982,-0.03210288,-0.02682560,-0.02215717,-0.03269894
2018-12-17,-0.02139793,-0.02156079,-0.02056755,-0.01502989,-0.01420104
2018-12-28,-0.00643210,-0.00639238,-0.00647952,-0.00544280,-0.00129590
2019-01-14,0.00836592,0.00840287,0.00431904,0.00668350,0.00553920
2019-01-28,0.00344918,0.00345085,0.00049908,0.00309428,0.00104806
2019-02-11,0.00255559,0.00253514,0.00154692,0.00184771,0.00103128
2019-02-25,0.03229632,0.03217737,0.01073772,0.02107579,0.03284437
2019-03-11,0.01872711,0.01864926,0.01231746,0.01113733,0.01909757
2019-03-25,0.02735029,0.02712516,0.02055690,0.01889083,0.02088203
2019-04-08,0.06882956,0.06844512,0.04076959,0.04101205,0.06983493
2019-04-22,-0.02398969,-0.02391109,-0.01178435,-0.01335124,-0.02066928
2019-05-06,-0.01080643,-0.01081117,-0.00726503,-0.00774936,-0.00163463
2019-05-20,0.00048927,0.00049024,0.00000000,0.00047547,0.00009837
2019-06-03,0.00083789,0.00083755,0.00000000,0.00070907,0.00033900
2019-06-17,0.00185570,0.00186520,0.00018797,0.00159773,0.00075187
2019-07-01,0.01614570,0.01623729,0.00287146,0.01314205,0.01064168
2019-07-15,-0.00452173,-0.00451633,-0.00091532,-0.00352399,-0.00183065
2019-07-29,-0.00021478,-0.00021417,-0.00006545,-0.00016726,-0.00008727
2019-08-12,-0.00348044,-0.00346409,-0.00070268,-0.00236569,-0.00070268
2019-08-26,0.00185960,0.00184156,0.00093748,0.00133123,0.00074999
2019-09-09,0.01386431,0.01381867,0.00219295,0.01005569,0.01407130
2019-09-23,-0.01139539,-0.01135906,-0.00073347,-0.00952250,-0.00732636
2019-09-30,-0.00023278,-0.00023218,-0.00000000,-0.00017159,-0.00003510
2019-10-21,0.00348857,0.00348529,0.00000000,0.00307318,0.00105223
2019-11-04,0.00187061,0.00187055,0.00000000,0.00156822,0.00056456
2019-11-18,-0.00215773,-0.00215750,-0.00000000,-0.00180205,-0.00086846
2019-12-02,-0.00433354,-0.00434554,-0.00000000,-0.00369266,-0.00175146
2019-12-16,0.01023756,0.01026191,0.00040255,0.00682183,0.01038163
2019-12-30,0.01795219,0.01800328,0.00138448,0.01290525,0.01823346
2020-01-13,0.02217498,0.02204696,0.00084465,0.01516632,0.02251834
2020-01-23,-0.02045832,-0.02046601,-0.00000000,-0.01515757,-0.01318078
2020-02-10,-0.00836237,-0.00833816,-0.00038798,-0.00472680,-0.00723689
2020-02-24,0.01234062,0.01236313,0.00000000,0.00748412,0.01253293
2020-03-09,-0.01334765,-0.01329165,-0.00000000,-0.00941675,-0.00859607
2020-03-23,-0.00879527,-0.00874492,-0.00000000,-0.00756179,-0.00177230
2020-04-03,0.00618725,0.00623275,0.00000000,0.00405393,0.00250759
2020-04-20,0.00647106,0.00645997,0.00000000,0.00460753,0.00424539
2020-04-30,0.00070779,0.00070713,0.00000000,0.00055514,0.00021456
2020-05-18,0.00064075,0.00064254,0.00000000,0.00052147,0.00025858
2020-06-01,-0.00662986,-0.00666707,-0.00027284,-0.00433060,-0.00674226
2020-06-15,-0.00516681,-0.00519812,-0.00000000,-0.00337637,-0.00333588
2020-06-29,0.00971030,0.00976823,0.00060301,0.00710519,0.00627864
2020-07-13,0.02178908,0.02163914,0.00161138,0.01509591,0.02208448
2020-07-27,-0.00874552,-0.00870562,-0.00000000,-0.00727532,-0.00563265
2020-08-10,0.01146180,0.01146611,0.00042738,0.00841890,0.01166518
2020-08-24,0.00361774,0.00361966,0.00000000,0.00301284,0.00232243
2020-09-07,-0.01073610,-0.01074901,-0.00051040,-0.00851218,-0.00924583
2020-09-21,0.00227379,0.00227906,0.00000000,0.00194820,0.00149536
2020-09-30,0.00010600,0.00010657,0.00000000,0.00009394,0.00001605
2020-10-19,0.00118319,0.00118402,0.00000000,0.00105438,0.00035713
2020-11-02,0.00006880,0.00006904,0.00000695,0.00005582,0.00002779
2020-11-16,0.00623901,0.00627016,0.00073743,0.00514021,0.00410807
2020-11-30,-0.00291423,-0.00294820,-0.00084566,-0.00238195,-0.00088795
2020-12-14,0.00731363,0.00730638,0.00000000,0.00612290,0.00220424
2020-12-28,0.00172858,0.00172972,0.00034911,0.00139061,0.00069822
2021-01-11,0.00822143,0.00820312,0.00117753,0.00647643,0.00247282
2021-01-25,0.00148404,0.00148902,0.00075183,0.00125305,0.00060146
2021-02-08,-0.00256025,-0.00252902,-0.00258665,-0.00220728,-0.00051733
2021-02-22,0.00922406,0.00917986,0.00652716,0.00711772,0.00372981
2021-03-08,-0.00334097,-0.00332499,-0.00128130,-0.00253718,-0.00220131
2021-03-22,-0.00715408,-0.00716873,-0.00264248,-0.00493494,-0.00729228
2021-04-02,0.00962989,0.00959994,0.00418389,0.00726236,0.00829947
2021-04-19,-0.01341472,-0.01346373,-0.00380575,-0.00881962,-0.01366582
2021-04-30,0.00511703,0.00509855,0.00222493,0.00398015,0.00155745
2021-05-17,0.00108316,0.00108089,0.00021133,0.00075147,0.00093092
2021-05-31,0.01887005,0.01877688,0.00685886,0.01370984,0.01911362
2021-06-11,-0.00585743,-0.00583576,-0.00194580,-0.00397907,-0.00503621
2021-06-28,0.01512044,0.01513206,0.00451623,0.00950499,0.01303572
2021-07-12,-0.00669110,-0.00667542,-0.00521598,-0.00387115,-0.00578169
2021-07-26,-0.03604967,-0.03626471,-0.02975961,-0.01727462,-0.03124059
2021-08-09,0.01907432,0.01908259,0.01852450,0.01329358,0.01658112
2021-08-23,0.02908100,0.02917252,0.02839536,0.01697781,0.02971207
2021-09-06,0.04144231,0.04111723,0.02216256,0.02829642,0.04225634
2021-09-17,0.00104158,0.00103359,0.00042913,0.00076964,0.00067480
2021-09-30,-0.00097619,-0.00096543,-0.00042319,-0.00080406,-0.00029623
2021-10-18,0.00344879,0.00344683,0.00140041,0.00252073,0.00140041
2021-11-01,0.00175898,0.00173361,0.00178737,0.00136436,0.00071495
2021-11-15,0.00797359,0.00791339,0.00564059,0.00558856,0.00814146
2021-11-29,0.03123951,0.03136135,0.02347474,0.02148845,0.02407655
2021-12-13,0.02228078,0.02214351,0.01949295,0.01386075,0.01926327
2021-12-27,0.03458680,0.03496191,0.02727422,0.02624767,0.03006777
2022-01-10,0.00678467,0.00676032,0.00535067,0.00448259,0.00587346
2022-01-24,-0.00299214,-0.00294676,-0.00302487,-0.00205979,-0.00090746
2022-02-07,-0.00171644,-0.00172449,-0.00174744,-0.00124651,-0.00034949
2022-02-21,-0.00034809,-0.00034683,-0.00035378,-0.00019891,-0.00022996
2022-03-07,-0.00377704,-0.00377769,-0.00382568,-0.00167601,-0.00114770
2022-03-21,-0.00498335,-0.00495432,-0.00504805,-0.00264182,-0.00201922
2022-04-01,0.00496410,0.00498493,0.00456438,0.00233290,0.00202861
2022-04-18,-0.00731078,-0.00730701,-0.00669448,-0.00433902,-0.00297533
2022-04-29,-0.00718370,-0.00715196,-0.00580534,-0.00435401,-0.00145134
2022-05-16,0.01236053,0.01226691,0.00710082,0.00863841,0.00815102
2022-05-30,0.01070652,0.01087516,0.00824491,0.00813979,0.00535308
2022-06-13,0.00483385,0.00485465,0.00387049,0.00338483,0.00370014
2022-06-27,-0.04636604,-0.04657448,-0.04201215,-0.03042928,-0.04740541
2022-07-11,0.05018243,0.05043536,0.04471081,0.03416155,0.03284395
2022-07-25,0.00431362,0.00432770,0.00360272,0.00288138,0.00375350
2022-08-08,0.01289220,0.01283304,0.01310581,0.00715068,0.01113994
2022-08-22,0.06300673,0.06320893,0.06422294,0.03944317,0.06422294
2022-09-05,0.00244720,0.00246357,0.00249157,0.00176901,0.00099663
2022-09-19,-0.00321852,-0.00323460,-0.00326512,-0.00312000,-0.00048977
2022-09-30,-0.00187711,-0.00189384,-0.00190842,-0.00160307,-0.00038168
2022-10-17,0.00313844,0.00314297,0.00317436,0.00261356,0.00126974
2022-10-31,-0.00544535,-0.00547973,-0.00550902,-0.00433376,-0.00220361
2022-11-14,0.01798946,0.01807784,0.01817763,0.01464298,0.01363322
2022-11-28,0.01310852,0.01315570,0.01326852,0.01040185,0.00845868
2022-12-12,0.00941770,0.00944904,0.00952393,0.00706032,0.00607150
2022-12-26,-0.00622706,-0.00619851,-0.00624359,-0.00524462,-0.00124872
2023-01-09,0.00620651,0.00620911,0.00605006,0.00423048,0.00629788
2023-01-20,0.01818041,0.01802138,0.01691113,0.01060875,0.01843342
2023-02-06,0.03186034,0.03184180,0.03242343,0.01975935,0.03242343
2023-02-20,0.01340558,0.01343331,0.01363761,0.00914044,0.01022821
2023-03-06,0.01713608,0.01709554,0.01741807,0.01110317,0.01480536
2023-03-20,-0.00633925,-0.00631061,-0.00641025,-0.00470085,-0.00256410
2023-04-03,-0.00267068,-0.00267618,-0.00270709,-0.00169557,-0.00230102
2023-04-17,-0.02251509,-0.02263104,-0.02287392,-0.01270959,-0.01944284
2023-04-28,-0.00177677,-0.00178001,-0.00178989,-0.00101427,-0.00071596
2023-05-15,0.00339270,0.00338778,0.00341300,0.00229809,0.00136520
2023-05-29,-0.00121615,-0.00121955,-0.00122944,-0.00079035,-0.00036883
2023-06-12,-0.00334499,-0.00334850,-0.00337621,-0.00241158,-0.00101286
2023-06-26,-0.00473746,-0.00476168,-0.00479546,-0.00379070,-0.00143864
2023-07-10,0.01791237,0.01790316,0.01814731,0.01028282,0.01814731
2023-07-24,0.00273104,0.00272448,0.00276770,0.00226688,0.00083031
2023-08-07,-0.00040631,-0.00040552,-0.00040935,-0.00027010,-0.00026096
2023-08-21,-0.00044009,-0.00044063,-0.00044289,-0.00025393,-0.00008858
2023-09-04,0.00240337,0.00239281,0.00243117,0.00131635,0.00243117
2023-09-18,-0.00220431,-0.00220281,-0.00222945,-0.00156061,-0.00089178
2023-09-28,-0.00120556,-0.00120769,-0.00121564,-0.00079827,-0.00048626
2023-10-16,-0.00271858,-0.00271014,-0.00273765,-0.00183423,-0.00109506
2023-10-30,0.00242854,0.00242928,0.00244858,0.00190173,0.00097943
2023-11-13,0.01072931,0.01072463,0.01087180,0.00788791,0.01087180
2023-11-27,0.00467969,0.00468810,0.00473290,0.00325432,0.00301723
2023-12-11,-0.00672275,-0.00671796,-0.00679208,-0.00520726,-0.00331114
2023-12-25,-0.00102951,-0.00103440,-0.00103930,-0.00078987,-0.00020786
2024-01-08,0.00042262,0.00042380,0.00042852,0.00033047,0.00027318
2024-01-22,-0.00755020,-0.00756115,-0.00756553,-0.00630461,-0.00113483
2024-02-05,-0.00414104,-0.00408810,-0.00415547,-0.00337055,-0.00062332
2024-02-19,0.00282990,0.00282952,0.00285329,0.00241578,0.00114132
