date,model_a_score,model_b_score,small_cap,industry_momentum,market_state
2018-01-29,-0.13650498,-0.13670790,-0.13856183,-0.10491110,-0.04156855
2018-02-12,-0.09230850,-0.09184363,-0.09306389,-0.05805414,-0.02791917
2018-02-26,0.20339807,0.19972786,0.20542268,0.16825096,0.06162680
2018-03-12,0.06882518,0.06895091,0.07007257,0.05508482,0.03503628
2018-03-26,-0.05596069,-0.05589610,-0.05663590,-0.04665719,-0.01699077
2018-04-09,0.02161917,0.02144603,0.02194597,0.01398138,0.01755678
2018-04-23,-0.08625818,-0.08560129,-0.08702677,-0.06920701,-0.02610803
2018-05-07,0.00429210,0.00429764,0.00433496,0.00281337,0.00216748
2018-05-21,0.02746694,0.02728405,0.02773460,0.01949350,0.01386730
2018-06-04,-0.03397256,-0.03382804,-0.03423827,-0.02576022,-0.01027148
2018-06-15,-0.09004414,-0.08986791,-0.09095302,-0.05197316,-0.02728591
2018-07-02,-0.02435244,-0.02396291,-0.02446575,-0.01735903,-0.00733972
2018-07-16,-0.00864009,-0.00845116,-0.00869150,-0.00438855,-0.00434575
2018-07-30,0.03791978,0.03804912,0.03834781,0.02031372,0.01917391
2018-08-13,0.00597305,0.00593170,0.00401707,0.00361537,0.00301281
2018-08-27,-0.01875769,-0.01877880,-0.01580696,-0.00918124,-0.00948645
2018-09-10,-0.05571227,-0.05555097,-0.03219931,-0.03702921,-0.01690464
2018-09-21,0.04309716,0.04294006,0.03272861,0.02816639,0.02177709
2018-10-08,-0.03099694,-0.03055322,-0.01788006,-0.02354208,-0.00938703
2018-10-22,-0.01065781,-0.01068000,-0.01080436,-0.00643117,-0.00324131
2018-11-05,0.06858638,0.06814451,0.03481558,0.05609176,0.03481558
2018-11-19,0.03129964,0.03080911,0.02373789,0.02739053,0.01580113
2018-12-03,-0.03561862,-0.03551622,-0.03451918,-0.02394761,-0.02890671
2018-12-17,-0.03574974,-0.03569167,-0.03302926,-0.02515494,-0.02916291
2018-12-28,-0.05319498,-0.05316982,-0.04122431,-0.03537919,-0.04332631
2019-01-14,0.05779720,0.05782573,0.02445048,0.04731896,0.02926731
2019-01-28,0.02099747,0.02091731,0.00350615,0.01649961,0.01062687
2019-02-11,0.02497577,0.02474506,0.01468899,0.01800710,0.01261135
2019-02-25,0.07804781,0.07752239,0.02596973,0.05088729,0.07929368
2019-03-11,0.01739785,0.01711208,0.01204205,0.01043771,0.01765699
2019-03-25,0.04482227,0.04430110,0.02840530,0.02797458,0.04560349
2019-04-08,0.10214276,0.10154594,0.06014140,0.05735097,0.10355831
2019-04-22,-0.02876374,-0.02857555,-0.01487341,-0.01662148,-0.02332626
2019-05-06,-0.07458325,-0.07437513,-0.02719462,-0.05369631,-0.06048845
2019-05-20,-0.02418665,-0.02422773,-0.00348970,-0.02151979,-0.00732836
2019-06-03,0.04817582,0.04824422,0.00000000,0.04266866,0.01460938
2019-06-17,0.01075412,0.01071845,0.00000000,0.00982916,0.00324208
2019-07-01,0.12710671,0.12707443,0.01055243,0.11139484,0.06396774
2019-07-15,-0.02384470,-0.02354119,-0.00398325,-0.01898314,-0.01201940
2019-07-29,-0.00779658,-0.00769153,-0.00224309,-0.00590680,-0.00235524
2019-08-12,-0.07120828,-0.07112643,-0.01032523,-0.05300286,-0.02168299
2019-08-26,0.03171754,0.03151504,0.01336263,0.02359653,0.01602808
2019-09-09,0.04008452,0.03993717,0.00338762,0.03634695,0.02025278
2019-09-23,-0.02861246,-0.02852544,-0.00548900,-0.02214085,-0.02314358
2019-09-30,-0.00696411,-0.00690508,-0.00100383,-0.00565570,-0.00562548
2019-10-21,0.03064035,0.03035812,0.00432941,0.02490723,0.02479907
2019-11-04,0.02223534,0.02225382,0.00206621,0.01855559,0.01803650
2019-11-18,-0.01287080,-0.01288901,-0.00000000,-0.01097871,-0.00388572
2019-12-02,-0.04314882,-0.04299635,-0.00000000,-0.03422482,-0.01298894
2019-12-16,0.02125198,0.02125796,0.00000000,0.01548278,0.01069455
2019-12-30,0.02658584,0.02659318,0.00208611,0.01909867,0.02697526
2020-01-13,0.02605210,0.02587333,0.00100424,0.01769328,0.02645297
2020-01-23,-0.03603052,-0.03608470,-0.00000000,-0.02446658,-0.02918666
2020-02-10,-0.02466321,-0.02453211,-0.00116756,-0.01327677,-0.02003558
2020-02-24,0.01569452,0.01570262,0.00000000,0.00939936,0.01591907
2020-03-09,-0.01857995,-0.01849759,-0.00000000,-0.01171430,-0.01503117
2020-03-23,-0.11071714,-0.11049597,-0.00000000,-0.06839997,-0.08993947
2020-04-03,0.06093324,0.06110322,0.00000000,0.04381585,0.01852617
2020-04-20,0.03022705,0.03017594,0.00000000,0.02143558,0.01522926
2020-04-30,-0.00172167,-0.00171808,-0.00014520,-0.00129206,-0.00087102
2020-05-18,0.04632740,0.04646904,0.00000000,0.03622699,0.02336783
2020-06-01,-0.00134070,-0.00135092,-0.00010865,-0.00104909,-0.00067916
2020-06-15,-0.03898188,-0.03898937,-0.00372182,-0.02561651,-0.03171040
2020-06-29,0.04233158,0.04252250,0.00597685,0.02711508,0.03443971
2020-07-13,0.10800743,0.10707732,0.00818379,0.07299018,0.10934303
2020-07-27,-0.02668895,-0.02654324,-0.00368934,-0.02038971,-0.02166860
2020-08-10,0.03964372,0.03951994,0.00000000,0.02953404,0.03211508
2020-08-24,0.01404937,0.01402931,0.00000000,0.01116012,0.01135906
2020-09-07,-0.02483871,-0.02477674,-0.00120573,-0.02018141,-0.02013534
2020-09-21,-0.00216470,-0.00215824,-0.00000000,-0.00172576,-0.00174887
2020-09-30,-0.00078572,-0.00078708,-0.00000000,-0.00062640,-0.00063884
2020-10-19,0.03242447,0.03245413,0.00000000,0.02659240,0.01633663
2020-11-02,-0.00222922,-0.00223223,-0.00000000,-0.00177111,-0.00067217
2020-11-16,0.07233369,0.07239543,0.00000000,0.06008184,0.03641513
2020-11-30,-0.03546870,-0.03527554,-0.00883874,-0.02791183,-0.02871555
2020-12-14,0.06217120,0.06204405,0.01173613,0.04934854,0.05040844
2020-12-28,0.02295723,0.02277995,0.00330043,0.01991260,0.00693091
2021-01-11,0.08119963,0.08101874,0.01163001,0.06396504,0.02442301
2021-01-25,0.03596963,0.03603930,0.01517561,0.03054580,0.01820502
2021-02-08,-0.03605783,-0.03539262,-0.03645935,-0.03090364,-0.01093781
2021-02-22,0.12079245,0.11941637,0.09165268,0.09268059,0.06110751
2021-03-08,-0.01503942,-0.01491628,-0.00507387,-0.01265009,-0.00761547
2021-03-22,-0.01527117,-0.01514713,-0.00545248,-0.01058247,-0.01237459
2021-04-02,0.03950314,0.03934329,0.01607969,0.02924062,0.03194653
2021-04-19,-0.01010894,-0.01010304,-0.00283143,-0.00653491,-0.01026460
2021-04-30,0.03450146,0.03429706,0.01581297,0.02431949,0.02804270
2021-05-17,-0.00153728,-0.00153720,-0.00031173,-0.00107298,-0.00124411
2021-05-31,0.02316486,0.02292322,0.00749866,0.01709461,0.02340719
2021-06-11,-0.00053057,-0.00052852,-0.00013027,-0.00035293,-0.00042834
2021-06-28,0.04346943,0.04332047,0.01329510,0.02687327,0.03517229
2021-07-12,-0.01801347,-0.01788055,-0.01465842,-0.01058751,-0.01463604
2021-07-26,-0.04494007,-0.04473072,-0.03671406,-0.02454052,-0.03655953
2021-08-09,0.02461052,0.02445302,0.02373616,0.01646463,0.02004782
2021-08-23,0.03097943,0.03100032,0.03022499,0.01844718,0.03162734
2021-09-06,0.03942858,0.03903178,0.02597210,0.02822019,0.03217812
2021-09-17,0.00605975,0.00598752,0.00279755,0.00434913,0.00492998
2021-09-30,-0.01940693,-0.01922531,-0.00679550,-0.01343630,-0.01577400
2021-10-18,0.01589914,0.01592984,0.00641102,0.01100499,0.01303640
2021-11-01,0.00331383,0.00325502,0.00337103,0.00266840,0.00168552
2021-11-15,0.03504767,0.03427425,0.03250176,0.02523632,0.01773772
2021-11-29,0.04169518,0.04110604,0.03105247,0.02574281,0.04256391
2021-12-13,0.02641936,0.02614298,0.02420493,0.01712156,0.02149324
2021-12-27,0.05086352,0.05125740,0.03943799,0.03892828,0.04155013
2022-01-10,-0.02263689,-0.02255899,-0.01755459,-0.01494428,-0.01843094
2022-01-24,-0.00976335,-0.00966910,-0.00953236,-0.00695525,-0.00799582
2022-02-07,-0.05310820,-0.05230960,-0.05150126,-0.03349341,-0.04323216
2022-02-21,0.03105517,0.03081967,0.03148254,0.01966981,0.01574127
2022-03-07,0.00580464,0.00578908,0.00589838,0.00280173,0.00294919
2022-03-21,-0.04768910,-0.04734139,-0.04814143,-0.02796788,-0.01444243
2022-04-01,0.03890989,0.03894724,0.03317735,0.01878684,0.01989889
2022-04-18,-0.03685529,-0.03661889,-0.03186495,-0.02000411,-0.01115273
2022-04-29,-0.15148248,-0.14975205,-0.13112502,-0.10708544,-0.04589376
2022-05-16,0.11800964,0.11714956,0.06977409,0.08906720,0.05981752
2022-05-30,0.01910677,0.01926448,0.01466230,0.01385939,0.00975300
2022-06-13,0.03526945,0.03523205,0.02982782,0.02477115,0.01790325
2022-06-27,-0.12180337,-0.12215429,-0.11018377,-0.08038495,-0.12443723
2022-07-11,0.13919007,0.13879730,0.12132414,0.08666090,0.11386570
2022-07-25,0.00971673,0.00969221,0.00750545,0.00646147,0.00792906
2022-08-08,0.00747695,0.00741461,0.00757900,0.00403767,0.00606320
2022-08-22,0.05487618,0.05500111,0.05575381,0.03431069,0.04460305
2022-09-05,0.00275389,0.00277454,0.00268185,0.00196005,0.00225240
2022-09-19,-0.04777371,-0.04800053,-0.04850239,-0.03833998,-0.01455072
2022-09-30,-0.05981434,-0.05997927,-0.06076773,-0.04890356,-0.01823032
2022-10-17,0.05319335,0.05309059,0.05376452,0.04510245,0.02688226
2022-10-31,-0.03228168,-0.03237488,-0.03266640,-0.02568065,-0.01633320
2022-11-14,0.05612234,0.05634188,0.05671504,0.05296130,0.02835752
2022-11-28,0.01453762,0.01458856,0.01472116,0.01106297,0.01177693
2022-12-12,0.02499678,0.02506692,0.02531446,0.01849610,0.02025157
2022-12-26,-0.04670747,-0.04620028,-0.04713043,-0.03542665,-0.03770435
2023-01-09,0.02752400,0.02751500,0.02653686,0.01920672,0.02230389
2023-01-20,0.01877056,0.01850250,0.01582289,0.01392415,0.00949374
2023-02-06,0.02868923,0.02859190,0.02916913,0.01914036,0.02916913
2023-02-20,0.01520607,0.01518858,0.01549416,0.01025706,0.01549416
2023-03-06,0.01460669,0.01444206,0.01479362,0.00970663,0.01183490
2023-03-20,-0.01905357,-0.01894882,-0.01927887,-0.01191325,-0.01542309
2023-04-03,-0.00340510,-0.00340979,-0.00344677,-0.00213889,-0.00275741
2023-04-17,-0.02107154,-0.02109121,-0.02136044,-0.01224752,-0.01708835
2023-04-28,-0.00333692,-0.00333897,-0.00335982,-0.00189467,-0.00167991
2023-05-15,0.03107577,0.03098559,0.03130414,0.02234424,0.01565207
2023-05-29,-0.01646714,-0.01647647,-0.01660632,-0.01014831,-0.00830316
2023-06-12,-0.03026602,-0.03024894,-0.03053787,-0.02120685,-0.01526894
2023-06-26,-0.03542482,-0.03560591,-0.03585852,-0.02834530,-0.01075756
2023-07-10,0.06315536,0.06308306,0.06405703,0.04183693,0.05124562
2023-07-24,0.00799362,0.00800455,0.00811009,0.00522299,0.00648807
2023-08-07,0.00689588,0.00685846,0.00695056,0.00439925,0.00556045
2023-08-21,-0.00694656,-0.00692441,-0.00699624,-0.00446427,-0.00209887
2023-09-04,0.01266158,0.01255328,0.01280367,0.00842881,0.00640183
2023-09-18,-0.00320170,-0.00320129,-0.00324152,-0.00221552,-0.00162076
2023-09-28,-0.01067518,-0.01064757,-0.01075520,-0.00711098,-0.00537760
2023-10-16,-0.01822493,-0.01811799,-0.01837992,-0.01286675,-0.00918996
2023-10-30,0.01248987,0.01250130,0.01257794,0.00915395,0.00628897
2023-11-13,0.02863628,0.02867824,0.02892093,0.02144969,0.01446047
2023-11-27,0.00491659,0.00491398,0.00498136,0.00344289,0.00398508
2023-12-11,-0.01535638,-0.01527822,-0.01550634,-0.01138675,-0.01240508
2023-12-25,-0.01654750,-0.01657051,-0.01677685,-0.01247591,-0.01342148
2024-01-08,0.01156681,0.01143279,0.01169913,0.00915900,0.00935930
2024-01-22,-0.07547626,-0.07558412,-0.07581487,-0.06173496,-0.02274446
2024-02-05,-0.19865973,-0.19916976,-0.20151985,-0.16793321,-0.06045595
