date,strategy,bench_000001.SH,bench_000300.SH,bench_000905.SZ
2022-07-11,322152.57,291475.92,309186.04,220000.00
2022-07-25,322376.96,285916.95,299105.72,227887.32
2022-08-08,322896.69,284733.46,294521.16,232957.75
2022-08-22,331724.97,288327.72,296887.08,241690.14
2022-09-05,331263.20,281476.87,285102.89,236338.03
2022-09-19,325678.13,274060.64,278895.45,209014.08
2022-09-30,324631.86,266037.32,270154.07,199436.62
2022-10-17,325541.97,271363.70,273102.54,210985.92
2022-10-31,324491.83,254522.17,249124.59,204225.35
2022-11-14,327817.18,271228.15,269382.41,211549.30
2022-11-28,326510.33,270801.27,265067.29,214929.58
2022-12-12,330881.74,279641.05,280701.97,216338.03
2022-12-26,323038.04,269658.98,272894.98,205352.11
2023-01-09,326615.35,279380.93,284939.10,204225.35
2023-01-20,330512.28,287185.90,296896.32,215774.65
2023-02-06,332625.83,284888.64,290176.08,218309.86
2023-02-20,335717.22,289431.14,293485.60,208450.70
2023-03-06,338115.97,292218.51,291747.51,214929.58
2023-03-20,333256.71,284555.48,279681.93,213802.82
2023-04-03,332780.35,289964.00,290438.05,205070.42
2023-04-17,327954.54,297811.57,294614.10,221126.76
2023-04-28,328701.90,292328.35,286072.73,212394.37
2023-05-15,330107.11,291225.46,283928.57,220281.69
2023-05-29,329806.27,283371.31,272217.12,207042.25
2023-06-12,328216.90,284020.94,272961.99,217183.10
2023-06-26,330721.87,277140.87,270495.65,204507.04
2023-07-10,333854.70,281809.72,272954.50,222816.90
2023-07-24,331695.90,278332.07,270177.90,227887.32
2023-08-07,333058.39,287539.28,283308.43,219154.93
2023-08-21,331872.65,272070.52,264805.48,214929.58
2023-09-04,332351.37,279466.76,273282.87,214084.51
2023-09-18,331825.05,274969.30,264674.55,210704.23
2023-09-28,330881.68,273609.68,261962.72,207887.32
2023-10-16,328898.96,270384.72,257495.28,205915.49
2023-10-30,328542.20,265787.76,254454.59,196338.03
2023-11-13,331880.21,267985.06,254145.19,202535.21
2023-11-27,331668.78,266680.31,249354.57,203661.97
2023-12-11,329177.32,263138.73,242787.77,201408.45
2023-12-25,326795.52,256750.27,237675.35,201971.83
2024-01-08,329178.17,253999.23,233316.23,199436.62
2024-01-22,316905.14,242458.53,228548.12,176619.72
2024-02-05,314368.28,237694.86,227236.01,159154.93
2024-02-19,314423.34,256022.94,241676.81,176338.03
2024-03-04,319896.66,267349.31,251408.38,177746.48
2024-03-18,325999.79,271362.28,255857.32,183098.59
2024-04-01,327421.79,270698.37,255297.72,182535.21
2024-04-15,319676.69,268939.00,251991.12,180281.69
2024-04-29,326323.60,273835.56,257304.65,182535.21
2024-05-13,326904.94,276912.32,260199.99,185070.42
2024-05-27,322728.93,274803.12,258142.15,183098.59
2024-06-07,310934.79,268402.51,253768.89,171267.61
2024-06-24,310205.79,260645.87,246860.12,156338.03
2024-07-08,310114.55,257070.22,241531.44,156338.03
2024-07-22,309743.77,260744.09,249566.33,157746.48
2024-08-05,310556.42,251638.27,237382.09,162816.90
2024-08-19,310329.22,254538.97,238351.07,163380.28
2024-09-02,309940.68,247269.73,231821.97,156338.03
2024-09-13,307254.63,237862.39,224312.53,152112.68
2024-09-30,315899.51,293491.48,285275.29,181971.83
2024-10-14,312290.32,288901.97,281262.82,179718.31
2024-10-28,325522.76,292233.60,281462.65,181408.45
2024-11-11,336009.58,305240.67,293318.15,191549.30
2024-11-25,338780.58,287093.18,273221.75,184507.04
2024-12-09,348427.02,299300.34,281634.05,190985.92
2024-12-23,342085.69,294789.80,279291.05,180000.00
2025-01-06,335513.88,282093.58,267603.99,201408.45
2025-01-20,348229.23,285388.26,271914.28,207605.63
2025-01-27,348398.90,285935.66,271019.93,202253.52
2025-02-17,350588.17,295192.01,280272.76,196619.72
2025-03-03,352540.86,291769.84,276089.01,197746.48
2025-03-17,364794.78,301375.78,283779.50,
2025-03-31,359489.53,293425.40,276006.07,212957.75
2025-04-14,351117.12,287009.42,266906.22,225352.11
2025-04-28,354728.62,289261.93,268502.10,209859.15
2025-05-12,361444.08,296372.04,276240.66,215774.65
2025-05-26,361657.06,294401.15,274074.89,224788.73
2025-06-09,368050.39,299057.33,275859.82,225070.42
2025-06-23,361820.50,297457.26,273918.33,232957.75
2025-07-07,368268.54,305509.96,281534.91,232957.75
2025-07-21,376370.54,313133.28,290085.86,230704.23
2025-08-04,377497.40,315201.98,289027.58,236056.34
2025-08-18,379600.10,327931.99,301006.32,231267.61
2025-09-01,386719.88,340906.95,321192.06,246478.87
2025-09-15,386164.98,339585.13,321855.55,240000.00
2025-09-29,386555.10,339763.53,328032.51,230985.92
2025-10-13,388283.25,342135.96,326181.18,237183.10
2025-10-27,393350.39,351587.01,334846.26,292957.75
2025-11-10,399248.53,353491.67,333357.50,306197.18
2025-11-24,385372.23,337497.03,315819.83,284225.35
2025-12-08,391882.73,345177.37,328153.33,371830.99
2025-12-22,395123.28,344586.78,327434.01,378309.86
2025-12-31,397036.61,349114.84,328734.48,368169.01
