date,port_ret,n_stocks,bench_ret_000001.SH,excess_000001.SH,bench_ret_000300.SH,excess_000300.SH,bench_ret_000905.SZ,excess_000905.SZ
2018-01-29,-0.12241791,8,0.03299014,-0.15540806,0.01817147,-0.14058938,0.00187793,-0.12429585
2018-02-12,0.08757419,7,-0.10470486,0.19227905,-0.09574890,0.18332309,-0.14245548,0.23002967
2018-02-26,0.08457553,7,0.05562502,0.02895051,0.05869097,0.02588457,0.12896175,-0.04438622
2018-03-12,0.09576717,12,-0.00086332,0.09663049,0.00224542,0.09352174,0.03097773,0.06478943
2018-03-26,-0.05328760,7,-0.05800867,0.00472107,-0.06002743,0.00673983,-0.13333333,0.08004573
2018-04-09,0.03539869,20,0.00145890,0.03393979,-0.00694962,0.04234832,0.11484290,-0.07944421
2018-04-23,-0.03403532,7,-0.02239485,-0.01164047,-0.02247731,-0.01155800,-0.10106900,0.06703368
2018-05-07,0.03704979,12,0.02237045,0.01467934,0.01801809,0.01903170,0.01081081,0.02623898
2018-05-21,0.02667889,12,0.02461088,0.00206801,0.02270478,0.00397411,0.02459893,0.00207996
2018-06-04,-0.05009198,7,-0.03816291,-0.01192907,-0.02898673,-0.02110525,-0.03340292,-0.01668906
2018-06-15,-0.08424775,7,-0.02241534,-0.06183241,-0.01422014,-0.07002761,-0.05507559,-0.02917216
2018-07-02,-0.04596786,7,-0.08151949,0.03555162,-0.09204105,0.04607319,-0.11428571,0.06831785
2018-07-16,0.00351096,12,0.01386561,-0.01035465,0.01881537,-0.01530441,-0.02064516,0.02415612
2018-07-30,0.04612508,12,0.01954758,0.02657750,0.01238261,0.03374246,0.02898551,0.01713957
2018-08-13,-0.04821515,12,-0.02899131,-0.01922384,-0.03548577,-0.01272938,0.02048656,-0.06870171
2018-08-27,-0.00192368,12,-0.00178508,-0.00013860,0.00478695,-0.00671063,-0.05646173,0.05453805
2018-09-10,-0.05196581,7,-0.04006420,-0.01190161,-0.05181318,-0.00015263,-0.05984043,0.00787462
2018-09-21,0.04190247,12,0.04794944,-0.00604697,0.05585563,-0.01395316,0.01697313,0.02492935
