date,strategy,bench_000001.SH,bench_000300.SH,bench_000905.SZ
2018-01-15,299508.25,300000.00,300000.00,300000.00
2018-01-29,263042.07,309897.04,305451.44,300563.38
2018-02-12,285978.46,277449.32,276204.80,257746.48
2018-02-26,309982.04,292882.44,292415.53,290985.92
2018-03-12,339514.31,292629.59,293072.12,300000.00
2018-03-26,321571.57,275654.54,275479.76,260000.00
2018-04-09,332922.72,276056.69,273565.28,289859.15
2018-04-23,321767.70,269874.44,267416.26,260563.38
2018-05-07,333576.89,275911.65,272234.60,263380.28
2018-05-21,342450.28,282702.08,278415.62,269859.15
2018-06-04,325424.71,271913.35,270345.26,260845.07
2018-06-15,298203.25,265818.32,266500.92,246478.87
2018-07-02,286842.77,244148.95,241971.89,218309.86
2018-07-16,286600.04,247534.22,246524.68,213802.82
2018-07-30,299790.35,252372.92,249577.30,220000.00
2018-08-13,286082.31,245056.29,240720.86,224507.04
2018-08-27,285182.43,244618.85,241873.18,211830.99
2018-09-10,272148.19,234818.39,229340.96,199154.93
2018-09-21,281405.84,246077.80,242150.94,202535.21
2018-10-08,274489.65,238954.97,233660.05,194366.20
2018-10-22,275320.97,233533.39,232195.60,169014.08
2018-11-05,284185.67,234461.79,231667.48,173239.44
2018-11-19,282767.29,237811.55,233923.07,191267.61
2018-12-03,276586.49,233526.51,231533.65,195774.65
2018-12-17,266496.46,228528.02,224450.95,182253.52
2018-12-28,253764.52,219372.95,213762.11,170704.23
2019-01-14,270197.33,223055.92,217818.52,179718.31
2019-01-28,280794.33,228440.32,226054.25,173802.82
2019-02-11,288220.97,233447.16,234765.82,175211.27
2019-02-25,321486.47,260486.17,264800.37,198873.24
2019-03-11,330756.69,266266.20,264833.85,204507.04
2019-03-25,344875.44,267677.04,265747.68,272957.75
2019-04-08,371705.20,285426.32,288070.92,262535.21
2019-04-22,358728.41,282807.83,285826.01,259154.93
2019-05-06,327038.82,255664.04,261614.78,210140.85
2019-05-20,322411.33,252509.71,256870.12,210422.54
2019-06-03,331496.44,254222.92,257879.79,212676.06
2019-06-17,332341.74,254006.63,259499.49,204225.35
2019-07-01,374465.23,267841.67,279450.08,220281.69
2019-07-15,368687.20,258806.23,271524.58,222253.52
2019-07-29,364354.57,258702.58,273660.50,215492.96
2019-08-12,344378.08,247618.02,262643.45,197183.10
2019-08-26,357239.64,251890.68,267386.78,201971.83
2019-09-09,371118.09,266067.96,282086.87,212112.68
2019-09-23,361993.05,261875.41,276244.35,211830.99
2019-09-30,356993.12,255551.91,270838.73,203943.66
2019-10-21,356736.77,258580.39,275546.98,202535.21
2019-11-04,363305.72,261736.01,282454.17,203661.97
2019-11-18,363701.35,255904.73,277470.37,197183.10
2019-12-02,355307.15,252967.35,272367.45,192957.75
2019-12-16,356592.02,262518.94,283123.35,201690.14
2019-12-30,366200.79,267412.50,289803.71,209014.08
2020-01-13,373766.47,274057.80,298491.14,212676.06
2020-01-23,358805.39,261827.16,284284.58,194647.89
2020-02-10,352239.38,254258.71,278043.79,179718.31
2020-02-24,361937.99,266639.24,293439.39,187605.63
2020-03-09,354074.89,258903.46,283803.98,190140.85
2020-03-23,322786.79,233998.82,250658.40,169295.77
2020-04-03,341201.97,243131.24,263645.54,169014.08
2020-04-20,354626.89,250921.80,273602.62,170704.23
2020-04-30,354377.71,251584.12,277800.40,166760.56
2020-05-18,371418.39,252933.08,278534.17,165070.42
2020-06-01,363354.07,256452.82,281972.68,187605.63
2020-06-15,362244.47,254218.50,280811.67,181408.45
2020-06-29,376956.56,260506.67,291797.66,176338.03
2020-07-13,410462.74,302885.05,344569.44,250422.54
2020-07-27,400644.32,281944.40,321528.53,198591.55
2020-08-10,409406.42,297252.38,335474.71,208169.01
2020-08-24,419400.55,297814.10,337674.30,207042.25
2020-09-07,408790.69,289629.27,331533.96,198028.17
2020-09-21,412458.92,291770.70,333100.29,198028.17
2020-09-30,412477.99,283072.56,325713.76,186760.56
2020-10-19,424049.06,291395.27,337648.66,191267.61
2020-11-02,433262.69,283694.25,335187.97,182253.52
2020-11-16,458077.02,294412.62,348205.48,196901.41
2020-11-30,438628.70,298352.16,352187.29,204225.35
2020-12-14,462247.16,296361.10,350382.65,195492.96
2020-12-28,473054.06,298838.63,359583.04,191267.61
2021-01-11,478056.09,310644.48,386332.55,187605.63
2021-01-25,490321.51,318802.28,399451.21,186478.87
2021-02-08,485172.54,310727.95,395094.44,177464.79
2021-02-22,542716.40,320403.83,397421.23,189295.77
2021-03-08,524244.12,300961.09,360691.38,190422.54
2021-03-22,528657.02,302898.50,359067.38,203380.28
2021-04-02,540502.70,306500.91,366480.32,199154.93
2021-04-19,550334.17,305898.89,361187.81,199718.31
2021-04-30,553958.78,303199.09,363777.43,190422.54
2021-05-17,570269.29,309423.37,368143.79,195211.27
2021-05-31,573266.50,318031.65,378551.55,191267.61
2021-06-11,573560.07,315768.41,370963.82,188732.39
2021-06-28,580884.09,317230.73,372884.94,189295.77
2021-07-12,578279.06,312081.67,364432.05,184788.73
2021-07-26,565927.29,305009.78,349705.57,181126.76
2021-08-09,573748.26,307401.87,353984.40,180281.69
2021-08-23,600505.35,305862.26,343356.52,184225.35
2021-09-06,613839.64,318593.04,350303.91,192957.75
2021-09-17,609900.91,317898.74,344780.96,194929.58
2021-09-30,604380.96,313870.03,345522.39,186478.87
2021-10-18,622047.88,313867.49,346118.29,184788.73
2021-11-01,617527.92,311786.40,347247.91,179154.93
2021-11-15,633592.75,310803.24,346658.07,198028.17
2021-11-29,671850.11,313388.87,344460.23,211549.30
2021-12-13,693182.00,323802.50,360959.49,204507.04
2021-12-27,696971.16,318075.35,349281.32,215211.27
2022-01-10,703520.60,316100.09,343936.38,218873.24
2022-01-24,676828.64,309994.18,339867.45,200845.07
2022-02-07,667189.16,301679.47,329029.17,210985.92
2022-02-21,684120.49,307048.03,329045.09,215211.27
2022-03-07,682915.80,296689.65,309055.45,221690.14
2022-03-21,649768.02,286207.03,302379.03,204507.04
2022-04-01,646276.29,288760.71,303615.32,229295.77
2022-04-18,614841.56,281090.90,295821.19,232676.06
2022-04-29,539033.92,268031.63,285160.72,193239.44
2022-05-16,565617.41,270379.07,280921.68,215774.65
2022-05-30,590405.73,277003.81,286067.91,232957.75
2022-06-13,617027.77,286371.12,297451.98,224788.73
2022-06-27,561718.38,297246.46,315551.16,223380.28
2022-07-11,624466.00,291475.92,309186.04,220000.00
2022-07-25,635380.27,285916.95,299105.72,227887.32
2022-08-08,643045.44,284733.46,294521.16,232957.75
2022-08-22,685596.98,288327.72,296887.08,241690.14
2022-09-05,684862.65,281476.87,285102.89,236338.03
2022-09-19,656365.76,274060.64,278895.45,209014.08
2022-09-30,639447.92,266037.32,270154.07,199436.62
2022-10-17,677886.67,271363.70,273102.54,210985.92
2022-10-31,666275.54,254522.17,249124.59,204225.35
2022-11-14,703657.95,271228.15,269382.41,211549.30
2022-11-28,704173.25,270801.27,265067.29,214929.58
2022-12-12,722992.26,279641.05,280701.97,216338.03
2022-12-26,688559.72,269658.98,272894.98,205352.11
2023-01-09,704924.68,279380.93,284939.10,204225.35
2023-01-20,720347.50,287185.90,296896.32,215774.65
2023-02-06,748186.92,284888.64,290176.08,218309.86
2023-02-20,760807.74,289431.14,293485.60,208450.70
2023-03-06,768797.74,292218.51,291747.51,214929.58
2023-03-20,748657.91,284555.48,279681.93,213802.82
2023-04-03,742809.77,289964.00,290438.05,205070.42
2023-04-17,722494.80,297811.57,294614.10,221126.76
2023-04-28,714658.65,292328.35,286072.73,212394.37
2023-05-15,733443.84,291225.46,283928.57,220281.69
2023-05-29,734100.08,283371.31,272217.12,207042.25
2023-06-12,707621.68,284020.94,272961.99,217183.10
2023-06-26,706315.22,277140.87,270495.65,204507.04
2023-07-10,754315.13,281809.72,272954.50,222816.90
2023-07-24,749111.70,278332.07,270177.90,227887.32
2023-08-07,766292.69,287539.28,283308.43,219154.93
2023-08-21,762562.90,272070.52,264805.48,214929.58
2023-09-04,769328.31,279466.76,273282.87,214084.51
2023-09-18,763237.64,274969.30,264674.55,210704.23
2023-09-28,752440.50,273609.68,261962.72,207887.32
2023-10-16,736734.94,270384.72,257495.28,205915.49
2023-10-30,746612.06,265787.76,254454.59,196338.03
2023-11-13,779101.05,267985.06,254145.19,202535.21
2023-11-27,779481.78,266680.31,249354.57,203661.97
2023-12-11,766184.89,263138.73,242787.77,201408.45
2023-12-25,757240.77,256750.27,237675.35,201971.83
2024-01-08,768792.87,253999.23,233316.23,199436.62
2024-01-22,689247.21,242458.53,228548.12,176619.72
2024-02-05,532494.92,237694.86,227236.01,159154.93
2024-02-19,538343.39,256022.94,241676.81,176338.03
2024-03-04,604125.44,267349.31,251408.38,177746.48
2024-03-18,652688.02,271362.28,255857.32,183098.59
2024-04-01,659627.01,270698.37,255297.72,182535.21
2024-04-15,620632.25,268939.00,251991.12,180281.69
2024-04-29,683575.52,273835.56,257304.65,182535.21
2024-05-13,683924.27,276912.32,260199.99,185070.42
2024-05-27,670516.43,274803.12,258142.15,183098.59
2024-06-07,607999.29,268402.51,253768.89,171267.61
2024-06-24,596648.17,260645.87,246860.12,156338.03
2024-07-08,599236.43,257070.22,241531.44,156338.03
2024-07-22,599778.91,260744.09,249566.33,157746.48
2024-08-05,605114.40,251638.27,237382.09,162816.90
2024-08-19,610170.99,254538.97,238351.07,163380.28
2024-09-02,600042.41,247269.73,231821.97,156338.03
2024-09-13,575871.50,237862.39,224312.53,152112.68
2024-09-30,696622.27,293491.48,285275.29,181971.83
2024-10-14,669546.27,288901.97,281262.82,179718.31
2024-10-28,744249.77,292233.60,281462.65,181408.45
2024-11-11,799839.09,305240.67,293318.15,191549.30
2024-11-25,793277.76,287093.18,273221.75,184507.04
2024-12-09,886580.15,299300.34,281634.05,190985.92
2024-12-23,845900.93,294789.80,279291.05,180000.00
2025-01-06,804955.35,282093.58,267603.99,201408.45
2025-01-20,867303.43,285388.26,271914.28,207605.63
2025-01-27,860359.33,285935.66,271019.93,202253.52
2025-02-17,903355.39,295192.01,280272.76,196619.72
2025-03-03,922987.71,291769.84,276089.01,197746.48
2025-03-17,988957.38,301375.78,283779.50,
2025-03-31,957583.91,293425.40,276006.07,212957.75
2025-04-14,913305.87,287009.42,266906.22,225352.11
2025-04-28,929726.88,289261.93,268502.10,209859.15
2025-05-12,1004347.28,296372.04,276240.66,215774.65
2025-05-26,1013844.12,294401.15,274074.89,224788.73
2025-06-09,1053480.87,299057.33,275859.82,225070.42
2025-06-23,1018028.93,297457.26,273918.33,232957.75
2025-07-07,1073357.27,305509.96,281534.91,232957.75
2025-07-21,1116313.33,313133.28,290085.86,230704.23
2025-08-04,1131500.36,315201.98,289027.58,236056.34
2025-08-18,1144161.47,327931.99,301006.32,231267.61
2025-09-01,1170680.98,340906.95,321192.06,246478.87
2025-09-15,1168575.61,339585.13,321855.55,240000.00
