date,strategy,bench_000001.SH,bench_000300.SH,bench_000905.SZ
2018-01-15,998355.94,1000000.00,1000000.00,1000000.00
2018-01-29,876139.29,1032990.14,1018171.47,1001877.93
2018-02-12,952866.48,924831.05,920682.67,859154.93
2018-02-26,1033455.67,976274.80,974718.43,969953.05
2018-03-12,1132426.79,975431.96,976907.08,1000000.00
2018-03-26,1072082.48,918848.45,918265.86,866666.67
2018-04-09,1110032.80,920188.96,911884.26,966197.18
2018-04-23,1072252.48,899581.47,891387.55,868544.60
2018-05-07,1111979.21,919705.51,907448.65,877934.27
2018-05-21,1141645.58,942340.28,928052.08,899530.52
2018-06-04,1084458.29,906377.83,901150.88,869483.57
2018-06-15,993095.12,886061.06,888336.38,821596.24
2018-07-02,947444.66,813829.82,806572.97,727699.53
2018-07-16,950771.10,825114.07,821748.94,712676.06
2018-07-30,994625.49,841243.05,831924.34,733333.33
2018-08-13,946669.47,816854.31,802402.86,748356.81
2018-08-27,944848.38,815396.17,806243.92,706103.29
2018-09-10,895748.57,782727.97,764469.86,663849.77
2018-09-21,933282.65,820259.34,807169.81,675117.37
2018-10-08,907838.25,796516.58,778866.84,647887.32
2018-10-22,912850.46,778444.62,773985.32,563380.28
2018-11-05,942208.06,781539.31,772224.92,577464.79
2018-11-19,936281.36,792705.16,779743.55,637558.69
2018-12-03,921832.16,778421.69,771778.82,652582.16
2018-12-17,887838.23,761760.06,748169.84,607511.74
2018-12-28,844429.19,731243.17,712540.38,569014.08
2019-01-14,899821.18,743519.74,726061.72,599061.03
2019-01-28,936930.74,761467.73,753514.17,579342.72
2019-02-11,967985.16,778157.22,782552.72,584037.56
2019-02-25,1082352.82,868287.24,882667.90,662910.80
2019-03-11,1112167.12,887554.02,882779.49,681690.14
2019-03-25,1161959.42,892256.80,885825.61,909859.15
2019-04-08,1257531.57,951421.06,960236.41,875117.37
2019-04-22,1209972.38,942692.78,952753.35,863849.77
2019-05-06,1097866.24,852213.47,872049.26,700469.48
2019-05-20,1085227.38,841699.03,856233.73,701408.45
2019-06-03,1116306.91,847409.73,859599.29,708920.19
2019-06-17,1121081.67,846688.78,864998.30,680751.17
2019-07-01,1289036.49,892805.55,931500.28,734272.30
2019-07-15,1256389.46,862687.43,905081.94,740845.07
2019-07-29,1244626.03,862341.94,912201.68,718309.86
2019-08-12,1185636.08,825393.39,875478.15,657277.00
2019-08-26,1232296.34,839635.60,891289.28,673239.44
2019-09-09,1281570.86,886893.20,940289.56,707042.25
2019-09-23,1250722.09,872918.05,920814.50,706103.29
2019-09-30,1234295.32,851839.69,902795.78,679812.21
2019-10-21,1232930.59,861934.63,918489.94,675117.37
2019-11-04,1262599.07,872453.36,941513.92,678873.24
2019-11-18,1263586.62,853015.76,924901.25,657277.00
2019-12-02,1224628.74,843224.50,907891.51,643192.49
2019-12-16,1243450.13,875063.14,943744.51,672300.47
2019-12-30,1278152.61,891374.99,966012.36,696713.62
2020-01-13,1315115.94,913525.99,994970.46,708920.19
2020-01-23,1258042.88,872757.19,947615.27,648826.29
2020-02-10,1229206.25,847529.04,926812.64,599061.03
2020-02-24,1265058.02,888797.47,978131.30,625352.11
2020-03-09,1227493.67,863011.55,946013.28,633802.82
2020-03-23,1088955.84,779996.07,835528.01,564319.25
2020-04-03,1173919.35,810437.46,878818.46,563380.28
2020-04-20,1220170.17,836406.00,912008.72,569014.08
2020-04-30,1226237.09,838613.72,926001.33,555868.54
2020-05-18,1292958.37,843110.26,928447.22,550234.74
2020-06-01,1264455.87,854842.75,939908.94,625352.11
2020-06-15,1228029.56,847394.99,936038.89,604694.84
2020-06-29,1297550.24,868355.56,972658.85,587793.43
2020-07-13,1439534.64,1009616.83,1148564.82,834741.78
2020-07-27,1386272.74,939814.66,1071761.78,661971.83
2020-08-10,1417101.54,990841.25,1118249.02,693896.71
2020-08-24,1454858.82,992713.68,1125581.01,690140.85
2020-09-07,1416997.35,965430.90,1105113.19,660093.90
2020-09-21,1426785.21,972569.00,1110334.30,660093.90
2020-09-30,1428853.14,943575.20,1085712.54,622535.21
2020-10-19,1474722.60,971317.57,1125495.52,637558.69
2020-11-02,1514913.21,945647.49,1117293.24,607511.74
2020-11-16,1616284.42,981375.39,1160684.93,656338.03
2020-11-30,1535603.99,994507.21,1173957.63,680751.17
2020-12-14,1635226.81,987870.33,1167942.18,651643.19
2020-12-28,1686748.81,996128.77,1198610.15,637558.69
2021-01-11,1708036.78,1035481.61,1287775.18,625352.11
2021-01-25,1753112.93,1062674.28,1331504.04,621596.24
2021-02-08,1732860.17,1035759.84,1316981.45,591549.30
2021-02-22,1940512.70,1068012.76,1324737.44,630985.92
2021-03-08,1872292.68,1003203.62,1202304.59,634741.78
2021-03-22,1891798.87,1009661.67,1196891.26,677934.27
2021-04-02,1962552.25,1021669.68,1221601.08,663849.77
2021-04-19,2007264.48,1019662.96,1203959.38,665727.70
2021-04-30,2031043.02,1010663.63,1212591.44,634741.78
2021-05-17,2093272.88,1031411.22,1227145.95,650704.23
2021-05-31,2105463.34,1060105.50,1261838.50,637558.69
2021-06-11,2103497.22,1052561.36,1236546.06,629107.98
2021-06-28,2138941.46,1057435.77,1242949.81,630985.92
2021-07-12,2127751.27,1040272.24,1214773.52,615962.44
2021-07-26,2081713.41,1016699.28,1165685.22,603755.87
2021-08-09,2111502.65,1024672.89,1179948.01,600938.97
2021-08-23,2211129.15,1019540.87,1144521.73,614084.51
2021-09-06,2260355.94,1061976.79,1167679.71,643192.49
2021-09-17,2245613.71,1059662.46,1149269.87,649765.26
2021-09-30,2220538.20,1046233.44,1151741.30,621596.24
2021-10-18,2300009.41,1046224.97,1153727.62,615962.44
2021-11-01,2284828.79,1039288.01,1157493.04,597183.10
2021-11-15,2339257.46,1036010.80,1155526.91,660093.90
2021-11-29,2480631.40,1044629.56,1148200.77,705164.32
2021-12-13,2547739.61,1079341.66,1203198.29,681690.14
2021-12-27,2561322.97,1060251.17,1164271.05,717370.89
2022-01-10,2581415.66,1053666.95,1146454.62,729577.46
2022-01-24,2475458.60,1033313.94,1132891.50,669483.57
2022-02-07,2440344.63,1005598.23,1096763.89,703286.38
2022-02-21,2502554.26,1023493.44,1096816.95,717370.89
2022-03-07,2497474.34,988965.51,1030184.85,738967.14
2022-03-21,2372621.93,954023.44,1007930.11,681690.14
2022-04-01,2360398.29,962535.69,1012051.08,764319.25
2022-04-18,2243721.92,936969.67,986070.64,775586.85
2022-04-29,1964056.48,893438.78,950535.75,644131.46
2022-05-16,2061711.93,901263.58,936405.61,719248.83
2022-05-30,2152362.59,923346.02,953559.70,776525.82
2022-06-13,2257318.62,954570.40,991506.61,749295.77
2022-06-27,2057085.31,990821.55,1051837.21,744600.94
2022-07-11,2296263.80,971586.41,1030620.14,733333.33
2022-07-25,2355712.44,953056.52,997019.06,759624.41
2022-08-08,2380295.03,949111.54,981737.20,776525.82
2022-08-22,2540871.21,961092.40,989623.59,805633.80
2022-09-05,2537511.12,938256.23,950342.95,787793.43
2022-09-19,2430707.56,913535.46,929651.51,696713.62
2022-09-30,2368223.02,886791.08,900513.56,664788.73
2022-10-17,2510907.82,904545.66,910341.79,703286.38
2022-10-31,2468128.96,848407.25,830415.31,680751.17
2022-11-14,2607202.26,904093.82,897941.35,705164.32
2022-11-28,2609194.92,902670.91,883557.62,716431.92
2022-12-12,2679358.73,932136.84,935673.23,721126.76
2022-12-26,2550659.31,898863.28,909649.95,684507.04
