信号类别,信号名称,IC均值,IC_IR,t值,多空利差(月),样本月数,是否显著
动量,1M动量,-0.00344602977667494,-0.011305807376834094,-0.12890603731970782,0.002252395025472049,130.0,✗
动量,3M动量,0.01280556955645161,0.039492141398501115,0.44680257578333,0.0030714143309454912,128.0,✗
动量,6M动量,0.057100000000000026,0.18419523150401718,2.0593652938714664,0.010626426345137326,125.0,✓
动量,12M动量,0.06500406614258607,0.19292393936444385,2.1045517145481543,0.008976193984772746,119.0,✓
反转,F3M-H2M反转,-0.0057245364490729036,,,,,待确认
拥挤度,换手率偏离度,-0.03409354838709678,-0.12862899612265646,-1.4381158960390839,-0.0034089203639309437,125.0,✗
拥挤度,成交额集中度变化,-0.01778918850806452,-0.0686831972330958,-0.7770616722735225,-0.000847261138517014,128.0,✗
拥挤度,波动率聚集度,0.009880595148787197,0.03963680574067373,0.4501875738431525,0.0028850194622524906,129.0,✗
