trade_month,industry,ret,n_stocks
2015-01,801010.SI,0.11723918585846027,77
2015-01,801030.SI,0.12116924224228898,192
2015-01,801040.SI,-0.025931025039590216,31
2015-01,801050.SI,0.04747308437625475,93
2015-01,801080.SI,0.12477527143968858,135
2015-01,801110.SI,0.11940625558836437,51
2015-01,801120.SI,-0.007818811866923236,62
2015-01,801130.SI,0.11636453719681783,71
2015-01,801140.SI,0.11423728919847687,76
2015-01,801150.SI,0.08705781035515447,178
2015-01,801160.SI,-0.013361800528616574,73
2015-01,801170.SI,0.006155635541756244,84
2015-01,801180.SI,0.024102579079156694,135
2015-01,801200.SI,0.061336941576763504,89
2015-01,801210.SI,0.08942969317805738,29
2015-01,801230.SI,0.06042808951476264,47
2015-01,801710.SI,-0.014151638223737772,61
2015-01,801720.SI,-0.08059270834361743,62
2015-01,801730.SI,0.12384628574828738,133
2015-01,801740.SI,0.04953144248966068,28
2015-01,801750.SI,0.23621384966300574,125
2015-01,801760.SI,0.16806165986197286,61
2015-01,801770.SI,0.0679882816837658,52
2015-01,801780.SI,-0.06681530178133,16
2015-01,801790.SI,-0.06794048407814013,35
2015-01,801880.SI,0.09381550210196665,103
2015-01,801890.SI,0.1343575557263339,210
2015-01,801950.SI,-0.049881495317964375,36
2015-01,801960.SI,0.03808494463259526,35
2015-01,801970.SI,0.016557691492194104,47
2015-01,801980.SI,0.0960652320116695,7
2015-02,801010.SI,0.029003669054587178,75
2015-02,801030.SI,0.08036721754988152,194
2015-02,801040.SI,0.0699003105795657,32
2015-02,801050.SI,0.04126573505659725,92
2015-02,801080.SI,0.08464589803200417,130
2015-02,801110.SI,0.0698371045682713,51
2015-02,801120.SI,0.03706926581858694,62
2015-02,801130.SI,0.09216279794208448,68
2015-02,801140.SI,0.09780548699337688,80
2015-02,801150.SI,0.06665507450152708,178
2015-02,801160.SI,0.00988895628129538,70
2015-02,801170.SI,0.04643810188114994,83
2015-02,801180.SI,0.04738221251323749,134
2015-02,801200.SI,0.0858792621442539,87
2015-02,801210.SI,0.07272223766911345,26
2015-02,801230.SI,0.11158608958684724,43
2015-02,801710.SI,0.03841195593211766,62
2015-02,801720.SI,0.10444364090974578,63
2015-02,801730.SI,0.0548281948307654,130
2015-02,801740.SI,0.0556089073707442,28
2015-02,801750.SI,0.22238156512113383,124
2015-02,801760.SI,0.18860564423436976,58
2015-02,801770.SI,0.16181850645243956,53
2015-02,801780.SI,-0.01805439693236266,16
