formation,1,2,3,4,5,6,7,8,9,10,11,12
1,0.03594602977667494,-0.0003469617404351168,0.022259324596774197,0.02298704597409194,0.02465757808499744,0.045819354838709685,0.05586628511966702,0.0666502753737215,0.05726797990481228,0.04808051186350306,0.06063844086021506,0.07969300623475198
2,0.012740685171292825,-0.0011687247983870972,0.0072548895097790216,0.019946876600102408,0.03671612903225806,0.06593717481789801,0.0788978494623656,0.0788042041248017,0.059360837110103974,0.06429435483870967,0.08610395771211712,0.0863586659376709
3,0.009252142137096783,-0.0057245364490729036,0.001353686635944697,0.03785161290322582,0.057882414151925084,0.08401521111985315,0.08814119513484929,0.08025526526259665,0.07194892473118279,0.0904750609921388,0.10071760524876983,0.09624689826302732
4,0.015751206502413,0.0025633640552995387,0.023419354838709685,0.06343002081165452,0.08142866509310255,0.09250727128503437,0.08965275926419623,0.08932795698924734,0.09206763350501491,0.09869122471295792,0.10529018472566858,0.10302766963292549
5,0.02071492575524833,0.01888064516129032,0.04975936524453696,0.08889325990034096,0.1037447117927023,0.1032058117835244,0.10894489247311828,0.11710490647872053,0.10762370147621653,0.11257582023711057,0.12013348164627366,0.11778401122019638
6,0.04846451612903227,0.05448751300728409,0.08319892473118279,0.10980631940772081,0.11481271660890431,0.12013104838709679,0.134572377338032,0.13247334609075997,0.12144334160463195,0.1310101501668521,0.13468793828892006,0.13283814374646297
7,0.05874414672216442,0.07082677681615529,0.08279019037546272,0.10231938149826714,0.11629032258064516,0.12925250745459474,0.13544628212137783,0.13534946236559142,0.1276974416017798,0.1307538569424965,0.13764148273910584,0.1355837853268627
8,0.07289863624442697,0.06967213114754102,0.07528659024260198,0.10341397849462367,0.12103889943074003,0.13078526517222527,0.13731389578163775,0.13488250834260293,0.122398316970547,0.12691355404640636,0.1330324007993149,0.12578485023041477
9,0.05498413537810683,0.04962343375099974,0.06620295698924732,0.10627880184331799,0.11569505194095135,0.1260097877033361,0.12937986651835373,0.12480014025245445,0.11568689869835881,0.12169568940907793,0.12133856566820277,0.11572217378668993
10,0.045917755265262594,0.05824260752688173,0.08120425589590678,0.11083242208857302,0.12485525227460713,0.1306347330367075,0.1335904628330996,0.12889431239388796,0.11884813017413647,0.11783194124423965,0.11749128160418484,0.1119134897360704
11,0.0640524193548387,0.08049606939550015,0.09166894477856752,0.12083677970774749,0.1306729699666296,0.1335413744740533,0.1358977079796265,0.13073793890950614,0.11618303571428572,0.11339726823597794,0.1132368035190616,0.11094258656407223
12,0.07323122797506101,0.0844348004373975,0.09543010752688175,0.12534413236929923,0.13121318373071533,0.13279923599320884,0.13937696260348273,0.1298711117511521,0.11194783493170593,0.11127199413489738,0.11224474696655817,0.11482228195937873
