holding_months,avg_cumulative_spread,n_obs
1,0.007062377213693107,130
2,0.01126311051563303,129
3,0.01861828176289421,128
4,0.015777865511350308,127
5,0.016539882279337302,126
6,0.017901777107134535,125
7,0.025076529242832827,124
8,0.03376328618740044,123
9,0.03777538542424688,122
10,0.03666311018619331,121
11,0.04237348338095834,120
12,0.05616068978658241,119
