date,strategy,bench_000001.SH,bench_000300.SH,bench_000905.SZ
2022-07-11,567432.26,291475.92,309186.04,220000.00
2022-07-25,573373.34,285916.95,299105.72,227887.32
2022-08-08,575351.95,284733.46,294521.16,232957.75
2022-08-22,614003.82,288327.72,296887.08,241690.14
2022-09-05,613832.17,281476.87,285102.89,236338.03
2022-09-19,572466.74,274060.64,278895.45,209014.08
2022-09-30,588862.97,266037.32,270154.07,199436.62
2022-10-17,625286.84,271363.70,273102.54,210985.92
2022-10-31,614901.58,254522.17,249124.59,204225.35
2022-11-14,650263.42,271228.15,269382.41,211549.30
2022-11-28,656179.47,270801.27,265067.29,214929.58
2022-12-12,675100.08,279641.05,280701.97,216338.03
2022-12-26,641291.20,269658.98,272894.98,205352.11
2023-01-09,657939.66,279380.93,284939.10,204225.35
2023-01-20,674234.08,287185.90,296896.32,215774.65
2023-02-06,695280.02,284888.64,290176.08,218309.86
2023-02-20,705638.95,289431.14,293485.60,208450.70
2023-03-06,715097.28,292218.51,291747.51,214929.58
2023-03-20,692421.43,284555.48,279681.93,213802.82
2023-04-03,689776.24,289964.00,290438.05,205070.42
2023-04-17,670245.45,297811.57,294614.10,221126.76
2023-04-28,665997.60,292328.35,286072.73,212394.37
2023-05-15,678934.87,291225.46,283928.57,220281.69
2023-05-29,680063.39,283371.31,272217.12,207042.25
2023-06-12,671917.37,284020.94,272961.99,217183.10
2023-06-26,667762.05,277140.87,270495.65,204507.04
2023-07-10,715701.02,281809.72,272954.50,222816.90
2023-07-24,711049.35,278332.07,270177.90,227887.32
2023-08-07,728886.47,287539.28,283308.43,219154.93
2023-08-21,722172.56,272070.52,264805.48,214929.58
2023-09-04,729286.63,279466.76,273282.87,214084.51
2023-09-18,723110.64,274969.30,264674.55,210704.23
2023-09-28,711826.05,273609.68,261962.72,207887.32
2023-10-16,697296.03,270384.72,257495.28,205915.49
2023-10-30,701308.33,265787.76,254454.59,196338.03
2023-11-13,731280.43,267985.06,254145.19,202535.21
2023-11-27,730858.04,266680.31,249354.57,203661.97
2023-12-11,718420.63,263138.73,242787.77,201408.45
2023-12-25,711088.09,256750.27,237675.35,201971.83
2024-01-08,721567.09,253999.23,233316.23,199436.62
2024-01-22,645594.49,242458.53,228548.12,176619.72
2024-02-05,517666.82,237694.86,227236.01,159154.93
2024-02-19,535363.96,256022.94,241676.81,176338.03
2024-03-04,567994.21,267349.31,251408.38,177746.48
2024-03-18,609841.87,271362.28,255857.32,183098.59
2024-04-01,621030.31,270698.37,255297.72,182535.21
2024-04-15,590601.21,268939.00,251991.12,180281.69
2024-04-29,622597.55,273835.56,257304.65,182535.21
2024-05-13,624676.50,276912.32,260199.99,185070.42
2024-05-27,608102.00,274803.12,258142.15,183098.59
2024-06-07,550879.65,268402.51,253768.89,171267.61
2024-06-24,524182.32,260645.87,246860.12,156338.03
2024-07-08,520677.41,257070.22,241531.44,156338.03
2024-07-22,511005.22,260744.09,249566.33,157746.48
2024-08-05,516609.13,251638.27,237382.09,162816.90
2024-08-19,515719.50,254538.97,238351.07,163380.28
2024-09-02,512924.39,247269.73,231821.97,156338.03
2024-09-13,493893.69,237862.39,224312.53,152112.68
2024-09-30,589488.31,293491.48,285275.29,181971.83
2024-10-14,562605.65,288901.97,281262.82,179718.31
2024-10-28,611358.56,292233.60,281462.65,181408.45
2024-11-11,651367.87,305240.67,293318.15,191549.30
2024-11-25,662086.93,287093.18,273221.75,184507.04
2024-12-09,709938.53,299300.34,281634.05,190985.92
