date,strategy,bench_000001.SH,bench_000905.SZ
2018-01-15,998535.75,1000000.00,1000000.00
2018-01-29,1000685.13,1032990.14,1001877.93
2018-02-12,890749.40,924831.05,859154.93
2018-02-26,931919.74,976274.80,969953.05
2018-03-12,957272.27,975431.96,1000000.00
2018-03-26,869025.86,918848.45,866666.67
2018-04-09,878627.31,920188.96,966197.18
2018-04-23,865416.50,899581.47,868544.60
2018-05-07,869271.33,919705.51,877934.27
2018-05-21,881296.54,942340.28,899530.52
2018-06-04,831624.75,906377.83,869483.57
2018-06-15,798314.38,886061.06,821596.24
2018-07-02,734623.53,813829.82,727699.53
2018-07-16,736101.31,825114.07,712676.06
2018-07-30,737685.65,841243.05,733333.33
2018-08-13,707935.16,816854.31,748356.81
2018-08-27,712777.90,815396.17,706103.29
2018-09-10,665316.84,782727.97,663849.77
2018-09-21,694931.39,820259.34,675117.37
2018-10-08,677692.37,796516.58,647887.32
2018-10-22,657933.19,778444.62,563380.28
2018-11-05,675021.92,781539.31,577464.79
2018-11-19,692460.53,792705.16,637558.69
2018-12-03,673501.35,778421.69,652582.16
2018-12-17,669520.26,761760.06,607511.74
2018-12-28,649125.74,731243.17,569014.08
2019-01-14,656488.45,743519.74,599061.03
2019-01-28,670930.53,761467.73,579342.72
2019-02-11,689265.59,778157.22,584037.56
2019-02-25,728021.91,868287.24,662910.80
2019-03-11,730986.55,887554.02,681690.14
2019-03-25,754839.85,892256.80,909859.15
2019-04-08,793458.66,951421.06,875117.37
2019-04-22,805092.84,942692.78,863849.77
2019-05-06,723829.88,852213.47,700469.48
2019-05-20,712199.15,841699.03,701408.45
2019-06-03,708900.74,847409.73,708920.19
2019-06-17,713689.82,846688.78,680751.17
2019-07-01,742653.16,892805.55,734272.30
2019-07-15,722770.08,862687.43,740845.07
2019-07-29,705699.21,862341.94,718309.86
2019-08-12,658853.61,825393.39,657277.00
2019-08-26,661054.76,839635.60,673239.44
2019-09-09,696945.81,886893.20,707042.25
2019-09-23,681443.96,872918.05,706103.29
2019-09-30,669403.94,851839.69,679812.21
2019-10-21,674232.53,861934.63,675117.37
2019-11-04,677229.20,872453.36,678873.24
2019-11-18,647837.85,853015.76,657277.00
2019-12-02,659387.56,843224.50,643192.49
2019-12-16,685912.73,875063.14,672300.47
2019-12-30,695998.01,891374.99,696713.62
2020-01-13,708379.15,913525.99,708920.19
2020-01-23,671656.33,872757.19,648826.29
2020-02-10,644491.78,847529.04,599061.03
2020-02-24,654987.20,888797.47,625352.11
2020-03-09,653629.06,863011.55,633802.82
2020-03-23,601395.22,779996.07,564319.25
2020-04-03,626903.88,810437.46,563380.28
2020-04-20,642053.87,836406.00,569014.08
2020-04-30,636949.71,838613.72,555868.54
2020-05-18,638094.48,843110.26,550234.74
2020-06-01,645844.31,854842.75,625352.11
2020-06-15,639835.49,847394.99,604694.84
2020-06-29,644739.93,868355.56,587793.43
2020-07-13,721477.41,1009616.83,834741.78
2020-07-27,691239.39,939814.66,661971.83
2020-08-10,711011.46,990841.25,693896.71
2020-08-24,714282.02,992713.68,690140.85
2020-09-07,694698.40,965430.90,660093.90
2020-09-21,687845.36,972569.00,660093.90
2020-09-30,662564.66,943575.20,622535.21
2020-10-19,682354.40,971317.57,637558.69
2020-11-02,652603.47,945647.49,607511.74
2020-11-16,678435.74,981375.39,656338.03
2020-11-30,680874.95,994507.21,680751.17
2020-12-14,674997.50,987870.33,651643.19
2020-12-28,660970.19,996128.77,637558.69
2021-01-11,663375.11,1035481.61,625352.11
2021-01-25,671560.81,1062674.28,621596.24
2021-02-08,662321.49,1035759.84,591549.30
2021-02-22,662992.64,1068012.76,630985.92
2021-03-08,638025.62,1003203.62,634741.78
2021-03-22,635330.35,1009661.67,677934.27
2021-04-02,643741.06,1021669.68,663849.77
2021-04-19,640938.86,1019662.96,665727.70
2021-04-30,625241.97,1010663.63,634741.78
2021-05-17,638307.77,1031411.22,650704.23
2021-05-31,642204.56,1060105.50,637558.69
2021-06-11,635488.85,1052561.36,629107.98
2021-06-28,629009.52,1057435.77,630985.92
2021-07-12,618790.72,1040272.24,615962.44
2021-07-26,608125.77,1016699.28,603755.87
2021-08-09,614790.78,1024672.89,600938.97
2021-08-23,623394.07,1019540.87,614084.51
2021-09-06,636662.56,1061976.79,643192.49
2021-09-17,632540.96,1059662.46,649765.26
2021-09-30,610403.62,1046233.44,621596.24
2021-10-18,613445.17,1046224.97,615962.44
2021-11-01,592762.93,1039288.01,597183.10
2021-11-15,607449.61,1036010.80,660093.90
2021-11-29,610123.31,1044629.56,705164.32
2021-12-13,629998.16,1079341.66,681690.14
2021-12-27,645555.22,1060251.17,717370.89
2022-01-10,672740.68,1053666.95,729577.46
2022-01-24,648991.41,1033313.94,669483.57
2022-02-07,632964.73,1005598.23,703286.38
2022-02-21,663661.52,1023493.44,717370.89
2022-03-07,652754.89,988965.51,738967.14
2022-03-21,621137.09,954023.44,681690.14
2022-04-01,630157.40,962535.69,764319.25
2022-04-18,620777.73,936969.67,775586.85
2022-04-29,574939.99,893438.78,644131.46
2022-05-16,593009.57,901263.58,719248.83
2022-05-30,602880.13,923346.02,776525.82
2022-06-13,605202.10,954570.40,749295.77
2022-06-27,601559.10,990821.55,744600.94
2022-07-11,606423.07,971586.41,733333.33
2022-07-25,621316.52,953056.52,759624.41
2022-08-08,627340.29,949111.54,776525.82
2022-08-22,647527.97,961092.40,805633.80
2022-09-05,661693.42,938256.23,787793.43
2022-09-19,626016.78,913535.46,696713.62
2022-09-30,601934.31,886791.08,664788.73
2022-10-17,622903.34,904545.66,703286.38
2022-10-31,599083.56,848407.25,680751.17
2022-11-14,641100.78,904093.82,705164.32
2022-11-28,643351.94,902670.91,716431.92
2022-12-12,654654.59,932136.84,721126.76
2022-12-26,625445.97,898863.28,684507.04
2023-01-09,639254.46,931269.75,680751.17
2023-01-20,654664.94,957286.35,719248.83
2023-02-06,679714.33,949628.80,727699.53
2023-02-20,680993.19,964770.47,694835.68
2023-03-06,688652.34,974061.69,716431.92
2023-03-20,656610.39,948518.25,712676.06
2023-04-03,667399.59,966546.67,683568.08
2023-04-17,655853.26,992705.24,737089.20
2023-04-28,649747.12,974427.83,707981.22
2023-05-15,670500.05,970751.55,734272.30
2023-05-29,645252.50,944571.04,690140.85
2023-06-12,639305.19,946736.48,723943.66
2023-06-26,622362.03,923802.90,681690.14
2023-07-10,654605.45,939365.75,742723.00
2023-07-24,663403.57,927773.57,759624.41
2023-08-07,689001.78,958464.27,730516.43
2023-08-21,681695.60,906901.75,716431.92
2023-09-04,697636.84,931555.87,713615.02
2023-09-18,692810.95,916564.35,702347.42
2023-09-28,682113.78,912032.27,692957.75
2023-10-16,665576.43,901282.40,686384.98
2023-10-30,674657.29,885959.20,654460.09
2023-11-13,695850.15,893283.52,675117.37
2023-11-27,703388.98,888934.38,678873.24
2023-12-11,688764.68,877129.12,671361.50
2023-12-25,663852.41,855834.25,673239.44
2024-01-08,664736.47,846664.09,664788.73
2024-01-22,608909.50,808195.11,588732.39
2024-02-05,487813.52,792316.19,530516.43
2024-02-19,517402.30,853409.78,587793.43
2024-03-04,549830.10,891164.35,592488.26
2024-03-18,575449.48,904540.94,610328.64
2024-04-01,575139.79,902327.88,608450.70
2024-04-15,554591.88,896463.33,600938.97
2024-04-29,578517.63,912785.21,608450.70
2024-05-13,580453.74,923041.08,616901.41
2024-05-27,574249.93,916010.41,610328.64
2024-06-07,528502.45,894675.05,570892.02
2024-06-24,498404.24,868819.57,521126.76
2024-07-08,493068.75,856900.72,521126.76
2024-07-22,507751.84,869146.97,525821.60
2024-08-05,512581.56,838794.22,542723.00
2024-08-19,517870.05,848463.22,544600.94
2024-09-02,509105.35,824232.44,521126.76
2024-09-13,480157.94,792874.64,507042.25
2024-09-30,575579.12,978304.92,606572.77
2024-10-14,565899.12,963006.56,599061.03
2024-10-28,564745.91,974112.01,604694.84
2024-11-11,602084.81,1017468.91,638497.65
2024-11-25,570385.12,956977.27,615023.47
2024-12-09,609468.49,997667.81,636619.72
2024-12-23,577715.86,982632.66,600000.00
2025-01-06,539244.14,940311.95,671361.50
2025-01-20,556767.44,951294.19,692018.78
2025-01-27,561566.07,953118.88,674178.40
2025-02-17,560225.86,983973.38,655399.06
2025-03-03,561973.89,972566.13,659154.93
2025-03-17,582922.51,1004585.94,
2025-03-31,585114.04,978084.66,709859.15
2025-04-14,569423.95,956698.08,751173.71
2025-04-28,583691.01,964206.44,699530.52
2025-05-12,615391.03,987906.80,719248.83
2025-05-26,623281.25,981337.16,749295.77
2025-06-09,640085.18,996857.75,750234.74
2025-06-23,628872.11,991524.20,776525.82
2025-07-07,662994.94,1018366.55,776525.82
2025-07-21,689849.70,1043777.60,769014.08
2025-08-04,694842.82,1050673.27,786854.46
2025-08-18,714376.67,1093106.64,770892.02
2025-09-01,721628.28,1136356.49,821596.24
2025-09-15,722731.00,1131950.43,800000.00
2025-09-29,708334.02,1132545.10,769953.05
2025-10-13,713898.45,1140453.21,790610.33
2025-10-27,724293.82,1171956.70,976525.82
2025-11-10,738486.43,1178305.56,1020657.28
2025-11-24,702856.48,1124990.11,947417.84
2025-12-08,728309.29,1150591.23,1239436.62
2025-12-22,722543.37,1148622.59,1261032.86
2025-12-31,725930.70,1163716.12,1227230.05
