date,ts_code,direction,price,shares,amount,commission,status,reason,total_mv,circ_mv,sw_l1,sw_l2,name,market,industry,total_mv_yi,circ_mv_yi,year,total_mv_bucket,circ_mv_bucket
20180129,000721.SZ,SELL,5.421855,2500,13554.6375,2.033195625,FILLED,,270987.3646,236650.7188,801210.SI,801219.SI,西安饮食,主板,酒店餐饮,27.098736459999998,23.66507188,2018,<50亿,<50亿
20180129,600889.SH,SELL,8.287550000000001,200,1657.5100000000002,0.2486265,FILLED,,254867.5057,254867.5057,801030.SI,801032.SI,南京化纤,主板,化纤,25.48675057,25.48675057,2018,<50亿,<50亿
20180129,600855.SH,SELL,15.55663,900,14000.967,2.10014505,FILLED,,516659.9482,514318.2742,801750.SI,801101.SI,航天长峰,主板,专用机械,51.66599482,51.43182742,2018,50-100亿,50-100亿
20180129,000705.SZ,SELL,8.277565,1500,12416.347499999998,1.8624521249999997,FILLED,,276988.2041,233730.1261,801150.SI,801154.SI,浙江震元,主板,医药商业,27.698820409999996,23.37301261,2018,<50亿,<50亿
20180129,000809.SZ,SELL,3.624555,3300,11961.0315,1.7941547249999996,FILLED,,299399.2394,299399.2394,801180.SI,801181.SI,和展能源,主板,电气设备,29.939923940000003,29.939923940000003,2018,<50亿,<50亿
20180129,000159.SZ,SELL,5.41187,2300,12447.301,1.86709515,FILLED,,260777.4973,260777.4973,801960.SI,801963.SI,国际实业,主板,石油贸易,26.077749729999997,26.077749729999997,2018,<50亿,<50亿
20180129,000978.SZ,SELL,8.317505,1500,12476.257500000002,1.871438625,FILLED,,299963.3,299908.5719,801210.SI,801993.SI,桂林旅游,主板,旅游景点,29.99633,29.99085719,2018,<50亿,<50亿
20180129,600288.SH,SELL,8.577115000000001,1400,12007.961,1.80119415,FILLED,,375211.2,375211.2,801080.SI,801082.SI,大恒科技,主板,元器件,37.52112,37.52112,2018,<50亿,<50亿
20180129,600302.SH,SELL,6.070880000000001,2000,12141.760000000002,1.821264,FILLED,,210373.9608,210373.9608,801890.SI,801074.SI,标准股份,主板,纺织机械,21.03739608,21.03739608,2018,<50亿,<50亿
20180129,000890.SZ,SELL,6.899635000000001,1800,12419.343,1.86290145,FILLED,,262332.3456,262320.0817,801890.SI,,法尔胜,主板,环境保护,26.23323456,26.232008169999997,2018,<50亿,<50亿
20180129,600232.SH,SELL,6.66998,1500,10004.97,1.5007454999999998,FILLED,,243631.9874,243631.9874,801130.SI,801131.SI,金鹰股份,主板,纺织机械,24.36319874,24.36319874,2018,<50亿,<50亿
20180129,600356.SH,SELL,8.34746,1300,10851.698,1.6277547,FILLED,,249739.432,249739.432,801140.SI,801143.SI,恒丰纸业,主板,造纸,24.9739432,24.9739432,2018,<50亿,<50亿
20180129,600268.SH,SELL,5.242125000000001,2100,11008.4625,1.651269375,FILLED,,365014.2216,333504.3779,801730.SI,801738.SI,国电南自,主板,电气设备,36.50142216,33.35043779,2018,<50亿,<50亿
20180129,601616.SH,SELL,3.904135,2900,11321.9915,1.698298725,FILLED,,365809.825,365809.825,801730.SI,801738.SI,广电电气,主板,电气设备,36.580982500000005,36.580982500000005,2018,<50亿,<50亿
20180129,600523.SH,SELL,16.465265,700,11525.6855,1.7288528249999997,FILLED,,476220.9762,475906.8417,801880.SI,801093.SI,贵航股份,主板,汽车配件,47.62209762,47.590684169999996,2018,<50亿,<50亿
