direction,trade_count,unique_stocks,total_amount,total_mv_mean_yi,total_mv_median_yi,total_mv_amt_weighted_yi,circ_mv_mean_yi,circ_mv_median_yi,circ_mv_amt_weighted_yi
BUY,3266,970,63671952.88200001,282.85018539719533,35.486320625000005,255.61979434719368,236.62785149607163,30.563069879999997,211.78964329014443
SELL,2632,967,63405234.2725,315.96853602809654,36.636479355000006,272.0899631100494,266.7226164674392,31.789411719999997,226.00284458494028
