bucket,trade_count,unique_stocks,total_amount,mean_yi,median_yi,trade_pct,amount_pct
<50亿,3927,546,87698158.2465,29.842455807237076,28.582092,0.6658189216683622,0.6901172445678774
50-100亿,624,222,13366660.168000001,67.6970399223718,64.58605926,0.10579857578840285,0.10518536385093936
100-200亿,279,106,6136166.0135,139.14056268129033,130.46723245,0.04730417090539166,0.048286920342670715
200-500亿,370,110,7134822.4795,338.44116748829725,334.80144899,0.06273312987453374,0.05614558080220573
500-1000亿,250,66,4438603.9605,724.1806543151199,695.69228872,0.0423872499152255,0.03492840894490024
>=1000亿,448,61,8302776.2865,2792.1763458238393,2081.03286691,0.0759579518480841,0.06533648149140658
