year,trade_count,unique_stocks,total_amount,total_mv_mean_yi,total_mv_median_yi,circ_mv_mean_yi,circ_mv_median_yi
2018,696,203,7770902.2755,325.08625353626434,35.585915029999995,262.946896370819,27.899958725
2019,363,104,5602293.9655,1132.3289245897797,324.54,920.6744908907989,294.8075
2020,440,109,7856828.5635,1185.4127618086136,681.69561988,1070.43530714975,605.742148595
2021,970,334,19332466.519,353.43064635128866,56.72599279000001,287.6138784592165,46.434093884999996
2022,939,313,21602357.2505,183.87149218261982,42.46987721,144.20014653732693,31.51842044
2023,869,185,16649570.576000001,32.456620642589186,26.33946,26.269980296823935,23.57595493
2024,680,161,18189563.907500003,27.907104056264703,25.711195125,25.157522425955882,24.231067760000002
2025,941,185,30073204.097000003,36.000162415696074,34.91532055,34.3336306945271,33.382234090000004
