date,ts_code,name,shares,buy_price,buy_date,current_price,market_value,pnl_pct
20190329,600352.SH,浙江龙盛,1900,9.9199,20190131,17.2,32680.0,73.39
20190329,603369.SH,今世缘,1000,20.8008,20190228,28.7,28700.0,37.98
20190329,600031.SH,三一重工,2000,9.1831,20180731,12.78,25560.0,39.17
20190329,000338.SZ,潍柴动力,2100,8.2254,20180427,11.85,24885.0,44.07
20190329,600383.SH,金地集团,1800,11.3213,20190228,13.75,24750.0,21.45
20190329,000999.SZ,华润三九,800,24.9662,20180731,28.84,23072.0,15.52
20190329,600183.SH,生益科技,1700,10.1802,20190131,13.24,22508.0,30.06
20190329,002007.SZ,华兰生物,500,38.7487,20190228,45.0,22500.0,16.13
20190329,000786.SZ,北新建材,1100,18.5786,20190228,20.15,22165.0,8.46
20190329,600350.SH,山东高速,4200,4.4398,20180928,5.06,21252.0,13.97
20190329,002415.SZ,海康威视,600,34.5345,20190228,35.07,21042.0,1.55
20190329,601158.SH,重庆水务,3400,6.491,20180131,6.14,20876.0,-5.41
20190329,600377.SH,宁沪高速,2100,9.8586,20180131,9.9,20790.0,0.42
20190329,600886.SH,国投电力,2500,7.3698,20181130,8.3,20750.0,12.62
20190329,000895.SZ,双汇发展,800,23.0793,20181130,25.85,20680.0,12.01
20190329,600674.SH,川投能源,2200,9.4737,20180131,9.33,20526.0,-1.52
20190329,000898.SZ,鞍钢股份,3600,5.7555,20181031,5.7,20520.0,-0.96
20190329,601225.SH,陕西煤业,2300,8.4463,20180228,8.91,20493.0,5.49
20190329,600236.SH,桂冠电力,3500,5.8558,20190228,5.84,20440.0,-0.27
20190329,600887.SH,伊利股份,700,24.2042,20190131,29.11,20377.0,20.27
20190329,601988.SH,中国银行,5400,3.6234,20181228,3.77,20358.0,4.04
20190329,600516.SH,方大炭素,900,22.2622,20190228,22.59,20331.0,1.47
20190329,002001.SZ,新和成,1100,15.025,20181228,18.48,20328.0,22.99
20190329,600808.SH,马钢股份,5200,4.0778,20181031,3.89,20228.0,-4.61
20190329,601288.SH,农业银行,5400,3.6356,20180831,3.73,20142.0,2.6
20190329,601818.SH,光大银行,4900,3.8694,20181130,4.1,20090.0,5.96
20190329,601166.SH,兴业银行,1100,15.1668,20180831,18.17,19987.0,19.8
20190329,601328.SH,交通银行,3200,5.834,20181228,6.24,19968.0,6.96
20190329,300251.SZ,光线传媒,2300,8.8488,20190228,8.64,19872.0,-2.36
20190329,600688.SH,上海石化,3700,6.2571,20180131,5.37,19869.0,-14.18
20190329,601238.SH,广汽集团,1700,10.4604,20181130,11.68,19856.0,11.66
20190329,601088.SH,中国神华,1000,22.6782,20180228,19.61,19610.0,-13.53
20190329,600660.SH,福耀玻璃,800,25.879,20180131,24.33,19464.0,-5.99
20190329,601098.SH,中南传媒,1500,13.5335,20190228,12.87,19305.0,-4.9
20190329,600176.SH,中国巨石,1800,9.6797,20181228,10.7,19260.0,10.54
20190329,601006.SH,大秦铁路,2300,9.2516,20180131,8.34,19182.0,-9.85
20190329,600585.SH,海螺水泥,500,33.8688,20180531,38.18,19090.0,12.73
