symbol,date,open,high,low,close,volume,factor
000001,2006-03-23,1296.194,1302.791,1289.525,1302.457,25465408.0,1.0
000001,2006-03-24,1302.141,1308.057,1293.296,1294.704,24423936.0,1.0
000001,2006-03-27,1296.066,1296.593,1283.682,1295.915,20613246.0,1.0
000001,2006-03-28,1295.76,1302.648,1293.0,1298.791,25011826.0,1.0
000001,2006-03-29,1299.383,1313.125,1296.59,1305.567,34152236.0,1.0
000001,2006-03-30,1305.843,1308.496,1293.829,1294.718,26038827.0,1.0
000001,2006-03-31,1291.518,1298.751,1285.735,1298.295,26636858.0,1.0
000001,2006-04-03,1298.684,1319.485,1298.684,1319.471,32804669.0,1.0
000001,2006-04-04,1319.837,1330.105,1315.331,1329.798,37134050.0,1.0
000001,2006-04-05,1330.561,1341.504,1326.533,1340.162,37763198.0,1.0
000001,2006-04-06,1341.736,1348.52,1336.138,1339.737,41715075.0,1.0
000001,2006-04-07,1340.646,1345.291,1330.513,1342.965,40666055.0,1.0
000001,2006-04-10,1344.239,1359.408,1339.523,1359.081,41415428.0,1.0
000001,2006-04-11,1360.978,1366.523,1350.323,1362.229,43870408.0,1.0
000001,2006-04-12,1361.741,1364.691,1355.655,1360.132,37129072.0,1.0
000001,2006-04-13,1359.278,1364.316,1331.682,1332.33,41299055.0,1.0
000001,2006-04-14,1330.095,1360.094,1328.435,1359.538,37871219.0,1.0
000001,2006-04-17,1360.644,1383.654,1353.396,1378.614,42219761.0,1.0
000001,2006-04-18,1379.813,1391.378,1370.153,1385.114,36785181.0,1.0
000001,2006-04-19,1389.134,1399.547,1378.796,1396.702,40578163.0,1.0
000001,2006-04-20,1398.098,1404.192,1376.961,1385.9,43303288.0,1.0
000001,2006-04-21,1385.923,1419.891,1383.45,1416.793,45569103.0,1.0
000001,2006-04-24,1423.409,1429.056,1402.269,1409.786,52015803.0,1.0
000001,2006-04-25,1405.898,1409.274,1386.126,1399.767,43248836.0,1.0
000001,2006-04-26,1399.068,1426.626,1397.349,1417.477,48410649.0,1.0
000001,2006-04-27,1418.903,1424.465,1407.141,1416.732,37608444.0,1.0
000001,2006-04-28,1403.523,1444.714,1389.346,1440.223,44562043.0,1.0
000001,2006-05-08,1446.992,1497.202,1446.992,1497.104,51620655.0,1.0
